"","x"
"pop_Total",39474106397051.4
"pop_Y0-14",15.7439270777332
"pop_Y15-24",7.09938867244384
"pop_Y25-64",20.7264023898468
"pop_Y65-74",6.06564339787791
"pop_YGE75",10.1355504943481
"ARPR",91.9541994949495
"low_work",72.5406551226551
"rooms_pp",0.487657407407407
"mat_depriv",317.667913419913
"ARPR_socexcl",286.034564213564
"emp_Y15-24_ED0-2",401.558274216157
"emp_Y25-64_ED0-2",477.409168711267
"emp_Y15-24_ED3-4",401.501301502499
"emp_Y25-64_ED3-4",662.608252994741
"emp_Y15-24_ED5-8",243.729472620289
"emp_Y25-64_ED5-8",243.717503408407
"emp_TF",94.6757969938394
"emp_TP",215.608783487115
"emp_Y15-24",689.244553787839
"emp_Y25-64",200.148989909434
"emp_YGE65",31.4034676387475
"emp_Y15-24_NaceA",171.858165933494
"emp_Y25-64_NaceA",100.828680866762
"emp_Y15-24_NaceB-E",207.68905418389
"emp_Y25-64_NaceB-E",111.17337890333
"emp_Y15-24_NaceF",13.1609312414939
"emp_Y25-64_NaceF",5.25191543414282
"emp_Y15-24_NaceG-I",157.910323910435
"emp_Y25-64_NaceG-I",37.8445445242391
"emp_Y15-24_NaceJ",1.99649677540006
"emp_Y25-64_NaceJ",5.05285274932206
"emp_Y15-24_NaceK",2.77182187497485
"emp_Y25-64_NaceK",9.96045154633045
"emp_Y15-24_NaceL",0.437027751267376
"emp_Y25-64_NaceL",0.441848770287913
"emp_Y15-24_NaceM_N",16.3929792132093
"emp_Y25-64_NaceM_N",26.9964045092178
"emp_Y15-24_NaceO-Q",125.62418043639
"emp_Y25-64_NaceO-Q",100.287607268981
"emp_Y15-24_NaceR-U",15.7413570995163
"emp_Y25-64_NaceR-U",12.447071921802
"unemp_Y15-24",50.2738028404479
"unemp_YGE25",44.7364381404347
"GDP",445819283.817373
"GVAgr",3.54755036175344
"disp_income",72849328.440719
"training",211.16178755887
