age,agedef,unit,sex,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
Y12,COMPLET,NR,F,HR	: 	: 	: 	32 	46 	32 	12 	22 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,IE	200 	194 p	234 p	176 	140 	117 	41 	38 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,IS	18 	22 	25 	: 	: 	29 	26 b	26 	17 	21 	15 	26 	14 	22 	20 	17 	17 	21 	26 	22 	24 	25 	17 	13 	18 	17 
Y12,COMPLET,NR,F,IT	611 	558 	474 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,LI	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,LT	154 	109 	131 	146 	188 	249 	107 	96 	86 	97 	278 	225 	174 	129 	204 	36 	41 	46 	97 	153 	198 	246 	: 	: 	: 	: 
Y12,COMPLET,NR,F,LU	: 	: 	59 	37 	37 	43 	33 	46 	38 	37 	28 	45 	22 	33 	31 	32 	26 	27 	24 	28 	21 	27 	29 	25 	19 	19 
Y12,COMPLET,NR,F,LV	: 	: 	: 	: 	: 	: 	: 	: 	55 	49 	57 	128 	97 	58 	158 	127 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,NO	95 	96 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,PL	957 p	1185 p	1182 	: 	: 	: 	: 	: b	116 	136 	57 	63 	64 	83 	108 	168 	134 	132 	157 	162 	236 	179 	187 	188 	170 	119 
Y12,COMPLET,NR,F,RO	642 	559 	626 	756 	860 	844 	951 	1044 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,SE	174 	170 	218 	183 	145 	155 	135 	157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,SI	56 	48 	44 	37 	26 	17 	31 	18 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,SK	: 	: 	: 	7 	9 b	14 	10 	15 b	10 	4 	4 	8 	6 	6 	6 	1 	1 	1 	2 	0 	0 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,F,UK	652 	820 	381 	744 	191 	485 	491 	1200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,AT	147 	136 	116 	108 	115 	110 	121 	146 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,BE	367 	347 	380 	366 	323 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,BG	73 	56 p	44 p	24 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,CZ	: 	: 	: 	: 	: 	: 	: 	: 	34 	64 	60 	42 	54 	49 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,DE	: 	: 	: 	: 	: 	: 	: 	1585 	1536 	1580 	1610 	1674 	1547 	1766 	1642 	2396 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,EL	359 	337 	207 	218 	160 	201 	128 	121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,ES	1430 	1622 	2074 	1834 	1495 	1463 	1424 	1069 b	726 	453 	200 	148 	44 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,FI	51 	42 	43 	43 	48 	41 	42 	47 	45 	45 	45 	45 	48 	48 	62 	57 	44 	32 	50 	41 	41 	40 	14 	28 	28 	26 
Y12,COMPLET,NR,M,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,HR	: 	: 	: 	36 	43 	39 	27 	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,IE	151 	183 p	158 p	216 	122 	75 	51 	19 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,IS	16 	16 	20 	: 	: 	20 	27 b	24 	20 	18 	10 	17 	18 	25 	16 	15 	14 	20 	23 	25 	20 	16 	14 	10 	16 	27 
Y12,COMPLET,NR,M,IT	743 	606 	497 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,LI	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,LT	144 	111 	137 	146 	190 	262 	124 	100 	136 	129 	343 	210 	149 	180 	252 	28 	37 	46 	93 	162 	195 	217 	: 	: 	: 	: 
Y12,COMPLET,NR,M,LU	: 	: 	59 	52 	33 	34 	46 	36 	38 	45 	41 	28 	31 	41 	32 	27 	38 	38 	26 	25 	16 	30 	27 	27 	32 	17 
Y12,COMPLET,NR,M,LV	: 	: 	: 	: 	: 	: 	: 	: 	50 	50 	62 	142 	111 	115 	188 	138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,NO	93 	95 	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,PL	957 p	1150 p	1191 	: 	: 	: 	: 	: b	123 	141 	66 	63 	78 	86 	105 	182 	167 	140 	176 	168 	256 	201 	185 	179 	202 	124 
Y12,COMPLET,NR,M,RO	505 	630 	708 	836 	866 	873 	1034 	1106 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,SE	207 	205 	182 	184 	160 	169 	139 	169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,SI	50 	50 	31 	38 	31 	41 	31 	30 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,SK	: 	: 	: 	6 	4 b	17 	12 	10 b	7 	8 	6 	11 	5 	7 	4 	3 	0 	4 	3 	0 	0 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,M,UK	397 	413 	478 	415 	123 	273 	691 	746 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,AT	303 	248 	229 	240 	236 	226 	245 	271 	236 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,BE	716 	683 	716 	693 	629 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,BG	160 	119 p	100 p	47 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	72 	127 	109 	87 	94 	94 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,DE	: 	: 	: 	: 	: 	: 	: 	3189 	2934 	2971 	3120 	3453 	3022 	3334 	3098 	4506 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,EL	692 	686 	421 	463 	313 	401 	253 	235 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,ES	2731 	3134 	3981 	3504 	3003 	2892 	2805 	2050 b	1429 	873 	388 	293 	88 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,FI	105 	96 	82 	89 	79 	73 	84 	89 	82 	85 	92 	91 	88 	93 	107 	118 	81 	75 	88 	76 	70 	71 	46 	62 	49 	48 
Y12,COMPLET,NR,T,FR	: 	: 	: 	: 	: 	: 	: 	: 	558 	339 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,HR	: 	: 	: 	68 	89 	71 	39 	46 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,IE	351 	377 p	392 p	392 	262 	192 	92 	57 	65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,IS	34 	38 	45 	: 	: 	49 	53 b	50 	37 	39 	25 	43 	32 	47 	36 	32 	31 	41 	49 	47 	44 	41 	31 	23 	34 	44 
Y12,COMPLET,NR,T,IT	1354 	1164 	971 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,LI	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,LT	298 	220 	268 	292 	378 	511 	231 	196 	222 	226 	621 	435 	323 	309 	456 	64 	78 	92 	190 	315 	393 	463 	: 	: 	: 	: 
Y12,COMPLET,NR,T,LU	: 	: 	118 	89 	70 	77 	79 	82 	76 	82 	69 	73 	53 	74 	63 	59 	64 	65 	50 	53 	37 	57 	56 	52 	51 	36 
Y12,COMPLET,NR,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	105 	99 	119 	270 	208 	173 	346 	265 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,NO	188 	191 	186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,PL	1914 p	2335 p	2373 	: 	: 	: 	: 	: b	239 	277 	123 	126 	142 	169 	213 	350 	301 	272 	333 	330 	492 	380 	372 	367 	372 	243 
Y12,COMPLET,NR,T,RO	1147 	1189 	1334 	1592 	1726 	1717 	1985 	2150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,SE	381 	375 	400 	367 	305 	324 	274 	326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,SI	106 	98 	75 	75 	57 	58 	62 	48 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,SK	: 	: 	: 	13 	13 b	31 	22 	25 b	17 	12 	10 	19 	11 	13 	10 	4 	1 	5 	5 	0 	0 	: 	: 	: 	: 	: 
Y12,COMPLET,NR,T,UK	1049 	1233 	859 	1159 	314 	758 	1182 	1946 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,BE	342 	356 	358 	298 	266 	268 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,BG	86 p	59 p	58 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,CH	340 	314 	320 	297 	276 b	280 	224 	236 	259 	270 	293 	281 	298 	300 	276 	343 	328 	354 	375 	389 	389 	370 	413 	417 	347 	282 
Y12,REACH,NR,F,CY	: 	: 	: 	: 	19 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,CZ	54 	57 	54 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,DE	955 	825 	773 	752 	803 	855 	893 b	1633 	1454 	1446 	1548 	1760 	1521 	1610 	1523 	2181 	2058 	2852 	2556 	1998 	2361 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,DK	100 	97 	93 	95 	95 	106 	115 	126 b	134 	134 	148 	129 	133 	128 	129 	114 	125 	88 	120 	104 	83 	110 	64 	76 	89 	107 
Y12,REACH,NR,F,EE	22 b	16 	31 	38 	27 	26 	19 	23 b	18 	31 	14 	14 	28 	12 	14 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,ES	1390 	1533 	1796 	1731 	1551 	1497 	1456 	1010 	720 	418 	194 	147 	33 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,FI	59 	54 	39 	49 	33 	36 	46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,FR	: p	: 	: 	: 	: 	: b	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,HR	159 	67 	78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,HU	24 	36 	30 	13 	6 	14 b	23 	12 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,IS	20 	22 	19 	27 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,IT	618 	559 	475 	351 	351 	307 	272 	284 b	150 	184 	212 	181 	181 	165 	240 	208 	297 	205 	198 	196 	176 	346 	328 	312 	304 	287 
Y12,REACH,NR,F,LI	1 	1 	1 	0 	0 	1 	0 	2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,LT	175 	132 	138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,LU	50 	46 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,LV	84 	75 	89 	94 	115 	178 	84 	63 	55 	49 	57 	128 	97 	58 	158 	127 	40 	90 	90 	83 	130 	250 	306 	491 	158 	: 
Y12,REACH,NR,F,MT	9 	6 	5 	6 	7 	8 	4 	10 b	15 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,NL	372 	352 	386 	373 	299 	320 	310 b	375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,NO	107 	90 	99 	90 	95 	99 	78 	41 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,PL	914 p	1126 p	1235 	1252 	1147 	1022 	1028 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,SE	188 	181 	218 	169 	168 	169 	130 	162 	169 	186 	177 	182 	143 	151 	132 	133 	163 	151 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,F,SK	18 	14 	8 	: 	: 	: 	: 	: 	8 	3 	4 	7 	5 	11 	4 	1 	1 	2 	2 	0 	0 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,BE	377 	363 	410 	315 	253 	321 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,BG	64 p	60 p	48 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,CH	366 	304 	314 	335 	292 b	301 	273 	239 	290 	301 	282 	305 	302 	271 	310 	351 	341 	386 	369 	414 	399 	371 	416 	419 	361 	305 
Y12,REACH,NR,M,CY	: 	: 	: 	: 	17 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,CZ	56 	62 	49 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,DE	1013 	947 	740 	750 	776 	881 	1038 b	1680 	1542 	1601 	1624 	1742 	1603 	1791 	1615 	2390 	2280 	3200 	2553 	2151 	2471 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,DK	102 	113 	119 	94 	110 	111 	125 	126 b	129 	131 	151 	154 	143 	127 	128 	123 	127 	126 	127 	110 	113 	91 	98 	93 	113 	104 
Y12,REACH,NR,M,EE	38 b	27 	36 	48 	33 	19 	24 	20 b	23 	28 	21 	15 	16 	21 	20 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,ES	1562 	1661 	1975 	1851 	1567 	1493 	1470 	1080 	705 	410 	209 	145 	49 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,FI	45 	44 	48 	43 	43 	36 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,FR	: p	: 	: 	: 	: 	: b	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,HR	137 	54 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,HU	37 	30 	28 	19 	6 	4 b	27 	31 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,IS	18 	18 	21 	27 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,IT	758 	626 	506 	406 	367 	296 	288 	286 b	192 	248 	249 	209 	218 	191 	294 	237 	340 	225 	191 	204 	187 	369 	317 	337 	340 	306 
Y12,REACH,NR,M,LI	1 	1 	1 	1 	0 	2 	0 	2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,LT	178 	141 	146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,LU	61 	57 	56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,LV	91 	62 	84 	74 	84 	148 	104 	87 	50 	50 	62 	142 	111 	115 	188 	138 	42 	68 	99 	95 	141 	208 	281 	498 	151 	: 
Y12,REACH,NR,M,MT	19 	5 	7 	6 	10 	11 	8 	13 b	21 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,NL	350 	364 	355 	406 	333 	318 	326 b	382 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,NO	100 	109 	123 	85 	87 	108 	74 	58 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,PL	1003 p	1100 p	1211 	1225 	1137 	994 	1088 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,SE	258 	198 	199 	210 	160 	175 	142 	178 	175 	203 	185 	202 	178 	176 	138 	129 	173 	165 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,M,SK	18 	14 	18 	: 	: 	: 	: 	: 	6 	8 	4 	9 	6 	9 	2 	2 	1 	2 	6 	0 	0 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,BE	719 	719 	768 	613 	519 	589 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,BG	150 p	119 p	106 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,CH	706 	618 	634 	632 	568 b	581 	497 	475 	549 	571 	575 	586 	600 	571 	586 	694 	669 	740 	744 	803 	788 	741 	829 	836 	708 	587 
Y12,REACH,NR,T,CY	10 	25 	238 	171 	36 	46 	49 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,CZ	110 	119 	103 b	160 	189 	165 	281 	300 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,DE	1968 	1772 	1513 	1502 	1579 	1736 	1931 b	3313 	2996 	3047 	3172 	3502 	3124 	3401 	3138 	4571 	4338 	6052 	5109 	4149 	4832 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,DK	202 	210 	212 	189 	205 	217 	240 	252 b	263 	265 	299 	283 	276 	255 	257 	237 	252 	214 	247 	214 	196 	201 	162 	169 	202 	211 
Y12,REACH,NR,T,EE	60 b	43 	67 	86 	60 	45 	43 	43 b	41 	59 	35 	29 	44 	33 	34 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,ES	2952 	3194 	3771 	3582 	3118 	2989 	2926 	2090 	1425 	828 	403 	292 	82 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,FI	104 	98 	87 	92 	76 	72 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,FR	930 p	698 p	508 	221 	543 	1196 b	590 	602 	558 	339 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,HR	296 	121 	150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,HU	61 	66 	58 	32 	12 	18 b	50 	43 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,IS	38 	40 	40 	54 	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,IT	1376 	1185 	981 	757 	718 	603 	560 	570 b	342 	432 	461 	390 	399 	356 	534 	445 	637 	430 	389 	400 	363 	715 	645 	649 	644 	593 
Y12,REACH,NR,T,LI	2 	2 	2 	1 	0 	3 	0 	4 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,LT	353 	273 	284 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,LU	111 	103 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,LV	175 	137 	173 	168 	199 	326 	188 	150 	105 	99 	119 	270 	208 	173 	346 	265 	82 	158 	189 	178 	271 	458 	587 	989 	309 	: 
Y12,REACH,NR,T,MT	28 	11 	12 	12 	17 	19 	12 	23 b	36 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,NL	722 	716 	741 	779 	632 	638 	636 b	757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,NO	207 	199 	222 	175 	182 	207 	152 	99 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,PL	1917 p	2226 p	2446 	2477 	2284 	2016 	2116 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,PT	149 	118 	139 	221 	350 	36 	25 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,SE	446 	379 	417 	379 	328 	344 	272 	340 	344 	389 	362 	384 	321 	327 	270 	262 	336 	316 	: 	: 	: 	: 	: 	: 	: 	: 
Y12,REACH,NR,T,SK	36 	28 	26 	: 	: 	: 	: 	: 	14 	11 	8 	16 	11 	20 	6 	3 	2 	4 	8 	0 	0 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,AT	112 	125 	105 	117 	105 	98 	114 	129 	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,BE	327 	324 	313 	332 	265 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,BG	78 	93 p	59 p	21 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,CZ	: 	: 	: 	: 	: 	: 	: 	: 	42 	62 	53 	37 	47 	34 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
