"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",429300,2492000,9747000,19750000,24620000,81200000
"pop_Y0-14",13.16,14.55,15.04,15.43,16.41,18.59
"pop_Y65-74",7.466,9.267,9.924,9.774,10.36,11.25
"low_work",6.1,8.15,9.7,10.39,12.15,17.1
"rooms_pp",1.1,1.3,1.6,1.604,1.9,2.2
"mat_depriv",0.7,5.45,7.4,9.513,12.6,24
"ARPR_socexcl",14.8,19.1,24.1,24.1,27.9,36
"emp_Y15-24_ED0-2",0.7164,2.543,4.71,5.943,7.331,16.25
"emp_Y15-24_ED5-8",0.8745,2.274,3.673,4.759,7.132,10.96
"emp_Y25-64_ED5-8",13.14,18.56,25.24,25.19,31.92,36.23
"emp_PT",2.886,4.256,7.815,8.603,10.58,17.81
"emp_Y25-64",56.52,67.56,70.64,70.69,75.06,82.38
"emp_YGE65",1.555,2.752,4.829,5.148,6.347,11.64
"emp_Y25-64_NaceA",0.8021,1.669,2.603,3.194,4.48,7.544
"emp_Y15-24_NaceB-E",1.015,3.281,4.757,5.015,6.483,10.7
"emp_Y25-64_NaceB-E",4.471,9.729,12.66,12.43,15.77,22.57
"emp_Y15-24_NaceF",0.5392,1.256,1.856,2.152,2.845,6.116
"emp_Y25-64_NaceG-I",10.74,15.07,16.43,16.54,17.92,20.51
"emp_Y25-64_NaceJ",1.251,1.707,2.081,2.195,2.403,3.672
"emp_Y25-64_NaceK",1.069,1.591,1.793,2.351,2.52,9.47
"emp_Y25-64_NaceL",0.06612,0.3493,0.4639,0.6176,0.7864,1.677
"emp_Y15-24_NaceM_N",0.6141,1.287,2.012,2.302,3.189,4.863
"emp_Y15-24_NaceO-Q",1.044,2.228,3.853,4.583,6.163,10.59
"emp_Y25-64_NaceO-Q",13.32,15.72,17.02,18.18,21.28,28.34
"emp_Y15-24_NaceR-U",0.7908,1.259,1.705,1.918,2.202,4.347
"emp_Y25-64_NaceR-U",1.913,2.798,3.427,3.74,4.057,8.166
"unemp_Y15-24",3.785,6.046,7.961,9.134,11.76,19.02
"unemp_YGE25",2.799,3.986,4.866,6.416,7.671,15.93
"GDP",16100,20750,23200,26810,30100,73000
"training",2.8,5.35,8.1,10.26,13.2,29.2
