"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.9,15.01,15.19,15.6,16.27,17.65
"pop_Y15-24",9.708,9.834,10.7,11.44,12.71,14.25
"pop_Y25-64",52.12,54.86,55.61,55.29,56.93,56.95
"pop_YGE75",5.763,6.806,8.013,8.113,9.251,10.73
"ARPR",9.7,14.4,16.8,16.5,19.4,22.2
"low_work",7.6,9.7,12.1,11.74,12.2,17.1
"mat_depriv",6.7,7.1,7.4,9.62,11.6,15.3
"ARPR_socexcl",14.8,24.1,27.4,24.76,28.3,29.2
"emp_Y15-24_ED3-4",33.18,48.15,61.49,59.06,69.79,82.71
"emp_Y15-24_ED5-8",5.594,8.712,23.99,21.1,26.45,40.74
"emp_Y25-64_ED5-8",20.92,23.69,42.74,35.43,44.08,45.72
"emp_TF",39.7,41.5,46.55,46.24,46.8,56.67
"emp_TP",3.849,7.669,7.85,9.094,8.93,17.17
"emp_Y15-24",15.55,16.58,22.08,25.28,26.63,45.54
"emp_Y25-64",62.14,62.62,68.77,69.43,76.6,77.02
"emp_YGE65",1.583,3.607,4.974,5.284,6.386,9.873
"emp_Y25-64_NaceA",1.065,2.757,3.458,3.024,3.688,4.153
"emp_Y15-24_NaceB-E",7.037,8.183,9.858,16.85,20.37,38.82
"emp_Y15-24_NaceF",3.847,5.185,6.235,5.857,6.542,7.477
"emp_Y15-24_NaceG-I",28.27,40.24,41.54,40.46,45.23,47.04
"emp_Y25-64_NaceJ",2.544,2.774,3,3.107,3.043,4.175
"emp_Y25-64_NaceL",0.3962,0.5469,0.568,0.7111,0.9163,1.128
"emp_Y15-24_NaceM_N",4.406,7.387,7.509,8.137,8.79,12.59
"emp_Y15-24_NaceO-Q",6.681,9.446,9.63,11.5,13.36,18.41
"emp_Y25-64_NaceO-Q",20.63,21.42,22.52,23.76,22.77,31.45
"unemp_Y15-24",5.014,9.297,11.58,11.43,12.43,18.85
"GDP",22400,23200,25000,25380,26400,29900
"training",7.1,8.1,9.6,10.24,10.1,16.3
