"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.16,14.52,15.01,15.36,16.4,18.59
"pop_Y15-24",9.629,10.57,11.65,11.39,12,14.08
"pop_Y65-74",7.466,9.269,9.944,9.848,10.47,11.54
"low_work",6.1,8.425,9.75,10.46,12.12,17.1
"rooms_pp",1.1,1.2,1.6,1.583,1.9,2.2
"mat_depriv",0.7,5.675,8.65,10.5,13.68,33.1
"ARPR_socexcl",14.8,19.15,24.4,24.77,28.52,40.1
"emp_Y15-24_ED0-2",0.7164,2.486,4.364,5.786,7.111,16.25
"emp_Y25-64_ED3-4",14.42,26.45,38.19,34.31,40.34,55.65
"emp_Y15-24_ED5-8",0.8745,2.296,3.659,4.673,7.005,10.96
"emp_Y25-64_ED5-8",13.14,18.75,24.53,25.07,31.74,36.23
"emp_PT",1.414,4.16,7.657,8.303,10.51,17.81
"emp_Y25-64",56.52,67.98,70.61,70.6,74.99,82.38
"emp_YGE65",1.555,2.879,4.805,5.09,6.245,11.64
"emp_Y25-64_NaceA",0.8021,1.826,2.757,3.256,4.752,7.544
"emp_Y15-24_NaceB-E",1.015,3.33,4.691,4.995,6.448,10.7
"emp_Y25-64_NaceB-E",4.471,9.754,12.73,12.58,15.99,22.57
"emp_Y15-24_NaceF",0.5392,1.297,1.83,2.127,2.843,6.116
"emp_Y25-64_NaceG-I",10.74,15.09,16.62,16.65,18.06,20.51
"emp_Y25-64_NaceJ",1.251,1.699,2.019,2.173,2.37,3.672
"emp_Y25-64_NaceK",1.069,1.562,1.751,2.311,2.497,9.47
"emp_Y25-64_NaceL",0.06612,0.3405,0.454,0.6026,0.7477,1.677
"emp_Y15-24_NaceM_N",0.6141,1.312,1.901,2.266,3.02,4.863
"emp_Y15-24_NaceO-Q",0.9885,2.21,3.356,4.434,6.054,10.59
"emp_Y25-64_NaceO-Q",13.32,15.25,16.97,18,21.01,28.34
"emp_Y15-24_NaceR-U",0.7908,1.24,1.674,1.878,2.15,4.347
"emp_Y25-64_NaceR-U",1.913,2.673,3.388,3.674,4.021,8.166
"unemp_Y15-24",3.785,6.086,7.813,9.03,11.7,19.02
"unemp_YGE25",2.799,4.104,5.381,6.436,7.423,15.93
"training",2.1,4.825,8.05,9.917,12.65,29.2
