"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.004933,0.03035,0.1197,0.243,0.303,1
"pop_Y0-14",0.1316,0.1455,0.1504,0.1543,0.1641,0.1859
"pop_Y65-74",0.07466,0.09267,0.09924,0.09774,0.1036,0.1125
"low_work",0.061,0.0815,0.097,0.1039,0.1215,0.171
"rooms_pp",0.1538,0.3077,0.5385,0.5418,0.7692,1
"mat_depriv",0.007,0.0545,0.074,0.09513,0.126,0.24
"ARPR_socexcl",0.148,0.191,0.241,0.241,0.279,0.36
"emp_Y15-24_ED0-2",0.007164,0.02543,0.0471,0.05943,0.07331,0.1625
"emp_Y15-24_ED5-8",0.008745,0.02274,0.03673,0.04759,0.07132,0.1096
"emp_Y25-64_ED5-8",0.1314,0.1856,0.2524,0.2519,0.3192,0.3623
"emp_PT",0.02886,0.04256,0.07815,0.08603,0.1058,0.1781
"emp_Y25-64",0.5652,0.6756,0.7064,0.7069,0.7506,0.8238
"emp_YGE65",0.01555,0.02752,0.04829,0.05148,0.06347,0.1164
"emp_Y25-64_NaceA",0.008021,0.01669,0.02603,0.03194,0.0448,0.07544
"emp_Y15-24_NaceB-E",0.01015,0.03281,0.04757,0.05015,0.06483,0.107
"emp_Y25-64_NaceB-E",0.04471,0.09729,0.1266,0.1243,0.1577,0.2257
"emp_Y15-24_NaceF",0.005392,0.01256,0.01856,0.02152,0.02845,0.06116
"emp_Y25-64_NaceG-I",0.1074,0.1507,0.1643,0.1654,0.1792,0.2051
"emp_Y25-64_NaceJ",0.01251,0.01707,0.02081,0.02195,0.02403,0.03672
"emp_Y25-64_NaceK",0.01069,0.01591,0.01793,0.02351,0.0252,0.0947
"emp_Y25-64_NaceL",0.0006612,0.003493,0.004639,0.006176,0.007864,0.01677
"emp_Y15-24_NaceM_N",0.006141,0.01287,0.02012,0.02302,0.03189,0.04863
"emp_Y15-24_NaceO-Q",0.01044,0.02228,0.03853,0.04583,0.06163,0.1059
"emp_Y25-64_NaceO-Q",0.1332,0.1572,0.1702,0.1818,0.2128,0.2834
"emp_Y15-24_NaceR-U",0.007908,0.01259,0.01705,0.01918,0.02202,0.04347
"emp_Y25-64_NaceR-U",0.01913,0.02798,0.03427,0.0374,0.04057,0.08166
"unemp_Y15-24",0.03785,0.06046,0.07961,0.09134,0.1176,0.1902
"unemp_YGE25",0.02799,0.03986,0.04866,0.06416,0.07671,0.1593
"GDP",0.05651,0.08977,0.1073,0.1331,0.1567,0.4635
"training",0.028,0.0535,0.081,0.1026,0.132,0.292
