"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.004914,0.03064,0.1191,0.2434,0.3043,1
"pop_Y0-14",0.1318,0.146,0.1501,0.1541,0.1634,0.1854
"pop_Y65-74",0.07414,0.08935,0.09783,0.09583,0.1036,0.1091
"ARPR",0.097,0.1445,0.164,0.1672,0.194,0.222
"low_work",0.061,0.0815,0.097,0.1039,0.1215,0.171
"rooms_pp",0.1538,0.3077,0.5385,0.5418,0.7692,1
"mat_depriv",0.007,0.0545,0.074,0.09513,0.126,0.24
"emp_Y15-24_ED0-2",0.0388,0.121,0.1839,0.199,0.2693,0.4036
"emp_Y15-24_ED3-4",0.3318,0.5424,0.6417,0.6332,0.7137,0.867
"emp_Y25-64_ED3-4",0.2307,0.3832,0.4702,0.48,0.589,0.7248
"emp_Y15-24_ED5-8",0.04736,0.09068,0.1562,0.1664,0.2256,0.4074
"emp_Y25-64_ED5-8",0.2092,0.2754,0.3437,0.3541,0.4322,0.5059
"emp_TF",0.3914,0.4507,0.4711,0.4789,0.5087,0.5699
"emp_TP",0.02886,0.04219,0.07669,0.08614,0.1076,0.1781
"emp_Y25-64_NaceA",0.01065,0.02202,0.03789,0.0466,0.06349,0.1307
"emp_Y15-24_NaceB-E",0.05785,0.1066,0.1625,0.1755,0.2212,0.3882
"emp_Y15-24_NaceF",0.03611,0.05872,0.07477,0.07142,0.08311,0.1204
"emp_Y25-64_NaceF",0.04331,0.06514,0.06751,0.06997,0.07572,0.09735
"emp_Y25-64_NaceG-I",0.15,0.2114,0.2359,0.2357,0.2708,0.3026
"emp_Y25-64_NaceJ",0.0182,0.0258,0.0294,0.03076,0.03485,0.04468
"emp_Y25-64_NaceK",0.01422,0.02297,0.02699,0.0333,0.0345,0.1322
"emp_Y15-24_NaceM_N",0.03326,0.05959,0.07538,0.07625,0.09246,0.1259
"emp_Y25-64_NaceM_N",0.05834,0.07151,0.08437,0.08805,0.1038,0.1304
"emp_Y15-24_NaceO-Q",0.06681,0.1061,0.1403,0.1524,0.1864,0.3306
"emp_Y25-64_NaceO-Q",0.2063,0.2231,0.2415,0.2559,0.2873,0.3441
"emp_Y15-24_NaceR-U",0.03773,0.04911,0.06024,0.06707,0.08363,0.1077
"emp_Y25-64_NaceR-U",0.02892,0.04027,0.04662,0.0531,0.05519,0.114
"unemp_Y15-24",0.03763,0.05881,0.07476,0.08976,0.117,0.1885
"GDP",0.05651,0.08977,0.1073,0.1331,0.1567,0.4635
"training",0.028,0.0535,0.081,0.1026,0.132,0.292
