"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",0.1316,0.1452,0.1501,0.1536,0.164,0.1859
"pop_Y15-24",0.09629,0.1057,0.1165,0.1139,0.12,0.1408
"pop_Y65-74",0.07466,0.09269,0.09944,0.09848,0.1047,0.1154
"low_work",0.061,0.08425,0.0975,0.1046,0.1212,0.171
"rooms_pp",0.1538,0.2308,0.5385,0.5256,0.7692,1
"mat_depriv",0.007,0.05675,0.0865,0.105,0.1368,0.331
"ARPR_socexcl",0.148,0.1915,0.244,0.2477,0.2852,0.401
"emp_Y15-24_ED0-2",0.007164,0.02486,0.04364,0.05786,0.07111,0.1625
"emp_Y25-64_ED3-4",0.1442,0.2645,0.3819,0.3431,0.4034,0.5565
"emp_Y15-24_ED5-8",0.008745,0.02296,0.03659,0.04673,0.07005,0.1096
"emp_Y25-64_ED5-8",0.1314,0.1875,0.2453,0.2507,0.3174,0.3623
"emp_PT",0.01414,0.0416,0.07657,0.08303,0.1051,0.1781
"emp_Y25-64",0.5652,0.6798,0.7061,0.706,0.7499,0.8238
"emp_YGE65",0.01555,0.02879,0.04805,0.0509,0.06245,0.1164
"emp_Y25-64_NaceA",0.008021,0.01826,0.02757,0.03256,0.04752,0.07544
"emp_Y15-24_NaceB-E",0.01015,0.0333,0.04691,0.04995,0.06448,0.107
"emp_Y25-64_NaceB-E",0.04471,0.09754,0.1273,0.1258,0.1599,0.2257
"emp_Y15-24_NaceF",0.005392,0.01297,0.0183,0.02127,0.02843,0.06116
"emp_Y25-64_NaceG-I",0.1074,0.1509,0.1662,0.1665,0.1806,0.2051
"emp_Y25-64_NaceJ",0.01251,0.01699,0.02019,0.02173,0.0237,0.03672
"emp_Y25-64_NaceK",0.01069,0.01562,0.01751,0.02311,0.02497,0.0947
"emp_Y25-64_NaceL",0.0006612,0.003405,0.00454,0.006026,0.007477,0.01677
"emp_Y15-24_NaceM_N",0.006141,0.01312,0.01901,0.02266,0.0302,0.04863
"emp_Y15-24_NaceO-Q",0.009885,0.0221,0.03356,0.04434,0.06054,0.1059
"emp_Y25-64_NaceO-Q",0.1332,0.1525,0.1697,0.18,0.2101,0.2834
"emp_Y15-24_NaceR-U",0.007908,0.0124,0.01674,0.01878,0.0215,0.04347
"emp_Y25-64_NaceR-U",0.01913,0.02673,0.03388,0.03674,0.04021,0.08166
"unemp_Y15-24",0.03785,0.06086,0.07813,0.0903,0.117,0.1902
"unemp_YGE25",0.02799,0.04104,0.05381,0.06436,0.07423,0.1593
"training",0.021,0.04825,0.0805,0.09917,0.1265,0.292
