"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.18,14.61,15.02,15.45,16.38,18.54
"pop_Y65-74",7.414,8.929,9.654,9.534,10.15,10.91
"low_work",6.1,7.875,9.65,10.42,12.18,17.1
"rooms_pp",1.1,1.25,1.6,1.582,1.875,2.2
"mat_depriv",0.7,5.225,7.25,9.482,13.1,24
"ARPR_socexcl",14.8,19.05,24.4,24.12,28.1,36
"emp_Y15-24_ED0-2",3.88,11.61,17.89,19.56,26.06,40.36
"emp_Y15-24_ED3-4",33.18,54.91,64.21,63.73,72.16,86.7
"emp_Y25-64_ED3-4",23.07,38.87,49.47,48.9,59.55,72.48
"emp_Y25-64_ED5-8",20.92,28.25,34.63,35.84,43.47,50.59
"emp_TP",2.886,4.188,7.564,8.595,10.89,17.81
"emp_Y15-24",12.81,21.84,25.1,27.74,32.14,50.2
"emp_Y25-64",56.02,68.65,70.6,70.84,74.75,83.1
"emp_Y25-64_NaceA",1.065,2.769,3.862,4.812,6.72,13.07
"emp_Y15-24_NaceB-E",5.785,10.26,17.67,17.66,22.52,38.82
"emp_Y15-24_NaceF",3.611,6.215,7.491,7.284,8.322,12.04
"emp_Y15-24_NaceG-I",26.45,32.46,34.92,35.78,38.36,49.18
"emp_Y25-64_NaceG-I",15,21.01,23.23,23.4,26.33,30.26
"emp_Y25-64_NaceJ",1.82,2.562,2.907,3.058,3.444,4.468
"emp_Y25-64_NaceK",1.422,2.255,2.595,3.276,3.36,13.22
"emp_Y15-24_NaceM_N",3.326,5.926,7.524,7.625,9.313,12.59
"emp_Y25-64_NaceM_N",5.834,7.11,8.534,8.822,10.38,13.04
"emp_Y15-24_NaceO-Q",6.681,10.12,13.89,15.07,17.99,33.06
"emp_Y25-64_NaceO-Q",20.63,22.23,23.86,25.5,29.07,34.41
"emp_Y15-24_NaceR-U",3.773,4.866,5.93,6.738,8.372,10.77
"emp_Y25-64_NaceR-U",2.892,3.951,4.626,5.307,5.521,11.4
"unemp_Y15-24",3.763,5.95,8.026,9.112,11.77,18.85
"unemp_YGE25",3.116,4.249,5.414,6.575,7.948,15.82
"GDP",16100,20680,22900,26950,30200,73000
"training",2.8,5.225,8.85,10.39,13.75,29.2
