"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",429300,3899000,9162000,18160000,17640000,81200000
"pop_Y0-14",13.16,14.56,15.18,15.72,16.67,22.14
"pop_Y25-64",50.82,53.57,54.79,54.72,56.22,58.57
"pop_Y65-74",7.466,9.227,9.944,9.796,10.47,11.54
"pop_YGE75",5.441,7.495,8.497,8.314,9.16,11.01
"ARPR",9.7,14.32,16.4,16.84,19.42,25.1
"low_work",6.1,8.425,9.8,10.74,12.12,20.8
"rooms_pp",1,1.2,1.65,1.6,1.9,2.2
"ARPR_socexcl",14.8,18.88,24.4,24.88,28.52,40.3
"emp_Y15-24_ED3-4",5.554,12.95,18.41,18.51,24.05,28.43
"emp_Y25-64_ED3-4",14.42,26.45,35.61,34.05,40.25,55.65
"emp_Y15-24_ED5-8",0.8745,2.296,3.659,4.702,7.005,10.96
"emp_Y25-64_ED5-8",13.14,18.75,25.26,25.26,31.68,36.23
"emp_FT",31.91,44.88,47.4,47.45,51.04,57.33
"emp_PT",1.414,4.301,7.836,9.535,13.22,32.45
"emp_Y25-64",56.52,68.67,70.61,70.91,75.37,82.38
"emp_YGE65",1.555,3.382,5.284,5.583,6.937,11.64
"emp_Y25-64_NaceA",0.8021,1.694,2.757,3.624,4.752,16.82
"emp_Y15-24_NaceB-E",1.015,3.212,4.283,4.775,6.396,10.7
"emp_Y25-64_NaceB-E",4.471,9.575,12.12,12.35,15.75,22.57
"emp_Y15-24_NaceF",0.5392,1.297,1.796,2.079,2.843,6.116
"emp_Y25-64_NaceF",2.448,4.199,4.9,4.92,5.472,7.481
"emp_Y15-24_NaceG-I",4.755,7.529,8.882,11.24,14.2,26.17
"emp_Y25-64_NaceJ",1.223,1.699,2.146,2.221,2.542,3.672
"emp_Y25-64_NaceK",0.9622,1.562,1.797,2.331,2.579,9.47
"emp_Y15-24_NaceM_N",0.6141,1.312,2.038,2.374,3.461,5.797
"emp_Y25-64_NaceO-Q",9.392,15.25,17.23,18.29,21.97,28.34
"emp_Y15-24_NaceR-U",0.7908,1.24,1.712,1.949,2.329,4.347
"unemp_YGE25",2.799,3.816,4.863,6.191,7.062,15.93
"GDP",12800,20420,23400,26840,32800,73000
