"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.004914,0.02499,0.1205,0.2673,0.4968,1
"pop_Y0-14",0.1318,0.1455,0.1502,0.1548,0.1652,0.1854
"pop_Y15-24",0.09708,0.1076,0.119,0.117,0.1243,0.1425
"pop_Y65-74",0.07414,0.08942,0.09775,0.09633,0.1058,0.1091
"pop_YGE75",0.05763,0.07433,0.08511,0.08351,0.0906,0.1073
"low_work",0.061,0.08425,0.0965,0.1002,0.121,0.171
"rooms_pp",0.1538,0.3846,0.6538,0.5962,0.7692,1
"mat_depriv",0.007,0.0495,0.069,0.08675,0.1085,0.24
"ARPR_socexcl",0.148,0.1915,0.2395,0.2354,0.2742,0.327
"emp_Y15-24_ED0-2",0.08161,0.1413,0.193,0.2138,0.2754,0.4036
"emp_Y15-24_ED3-4",0.3318,0.5385,0.6283,0.6102,0.6898,0.8271
"emp_Y25-64_ED3-4",0.2307,0.3764,0.4645,0.4654,0.5669,0.7248
"emp_Y25-64_ED5-8",0.2092,0.2944,0.3673,0.3645,0.438,0.5059
"emp_TP",0.03393,0.05869,0.0839,0.09407,0.1156,0.1781
"emp_Y25-64",0.6214,0.6873,0.7132,0.7183,0.7521,0.831
"emp_Y25-64_NaceA",0.01065,0.01571,0.03738,0.04092,0.04855,0.1141
"emp_Y15-24_NaceB-E",0.05785,0.1106,0.1576,0.1715,0.2172,0.3882
"emp_Y25-64_NaceF",0.04421,0.06527,0.06761,0.07016,0.07524,0.09735
"emp_Y15-24_NaceG-I",0.2645,0.3219,0.3492,0.3528,0.3834,0.4704
"emp_Y25-64_NaceG-I",0.15,0.2084,0.2284,0.231,0.2534,0.2882
"emp_Y25-64_NaceJ",0.0182,0.02726,0.02987,0.03168,0.03525,0.04468
"emp_Y25-64_NaceK",0.01422,0.02339,0.02748,0.03458,0.03516,0.1322
"emp_Y25-64_NaceM_N",0.06264,0.07342,0.09239,0.0913,0.1051,0.1304
"emp_Y15-24_NaceO-Q",0.06681,0.09584,0.1441,0.1557,0.1936,0.3306
"emp_Y25-64_NaceO-Q",0.2063,0.2239,0.2472,0.2594,0.3006,0.3441
"emp_Y15-24_NaceR-U",0.03773,0.04955,0.0592,0.06873,0.08601,0.1077
"emp_Y25-64_NaceR-U",0.02892,0.04181,0.04709,0.05545,0.0575,0.114
"unemp_Y15-24",0.03763,0.0576,0.07173,0.08397,0.1065,0.1885
"unemp_YGE25",0.02837,0.0366,0.04825,0.05715,0.06533,0.1554
"training",0.033,0.07325,0.096,0.1134,0.1435,0.292
