"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",0.1318,0.146,0.1502,0.1544,0.1638,0.1854
"pop_Y65-74",0.07414,0.08929,0.09874,0.09592,0.1046,0.1091
"low_work",0.061,0.07875,0.0975,0.1047,0.1218,0.171
"rooms_pp",0.1538,0.2692,0.5769,0.549,0.7692,1
"mat_depriv",0.007,0.05225,0.0725,0.09327,0.1135,0.24
"ARPR_socexcl",0.148,0.1905,0.2395,0.2396,0.281,0.36
"emp_Y15-24_ED0-2",0.0388,0.1344,0.1902,0.2044,0.2712,0.4036
"emp_Y25-64_ED0-2",0.0382,0.09602,0.1196,0.1702,0.1771,0.5074
"emp_Y15-24_ED3-4",0.3318,0.5423,0.634,0.6323,0.7216,0.867
"emp_Y25-64_ED3-4",0.2307,0.3811,0.4645,0.478,0.5955,0.7248
"emp_Y15-24_ED5-8",0.04736,0.0889,0.1527,0.1619,0.2061,0.4074
"emp_Y25-64_ED5-8",0.2092,0.2749,0.3419,0.3503,0.4243,0.5059
"emp_TF",0.3914,0.4502,0.4695,0.4765,0.5031,0.5699
"emp_TP",0.02886,0.04188,0.07759,0.08762,0.1089,0.1781
"emp_Y25-64",0.5602,0.6667,0.7029,0.7042,0.747,0.831
"emp_Y25-64_NaceA",0.01065,0.01924,0.03738,0.0446,0.05357,0.1307
"emp_Y15-24_NaceB-E",0.05785,0.1026,0.1576,0.1745,0.2252,0.3882
"emp_Y15-24_NaceF",0.03611,0.05704,0.07458,0.07125,0.08322,0.1204
"emp_Y25-64_NaceF",0.04331,0.06501,0.06737,0.06967,0.07463,0.09735
"emp_Y25-64_NaceG-I",0.15,0.2101,0.2323,0.234,0.2633,0.3026
"emp_Y25-64_NaceJ",0.02207,0.02643,0.02957,0.03133,0.03494,0.04468
"emp_Y25-64_NaceK",0.0145,0.0239,0.02732,0.03416,0.03482,0.1322
"emp_Y15-24_NaceM_N",0.03326,0.05926,0.07524,0.07545,0.0903,0.1259
"emp_Y25-64_NaceM_N",0.05834,0.0727,0.08733,0.08887,0.1038,0.1304
"emp_Y15-24_NaceO-Q",0.06681,0.119,0.1417,0.1561,0.1876,0.3306
"emp_Y25-64_NaceO-Q",0.2063,0.2223,0.2434,0.257,0.2932,0.3441
"emp_Y15-24_NaceR-U",0.03773,0.04866,0.06034,0.06747,0.08372,0.1077
"emp_Y25-64_NaceR-U",0.02892,0.03951,0.04693,0.05361,0.05521,0.114
"GDP",0.05651,0.0912,0.1087,0.1351,0.1574,0.4635
"training",0.028,0.05975,0.0885,0.1049,0.1375,0.292
