"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",5451000,9076000,10510000,21760000,28720000,60780000
"pop_Y25-64",50.92,53.33,54.86,54.54,56.2,56.95
"pop_YGE75",6.806,8.323,8.519,8.925,9.886,10.73
"ARPR",9.7,13.45,15.1,16.49,20.75,22.2
"low_work",6.2,8.35,9.8,11.27,14.55,17.1
"rooms_pp",1.2,1.4,1.6,1.6,1.85,1.9
"mat_depriv",0.7,3.4,6.7,7.771,9.35,21.5
"ARPR_socexcl",14.8,17.1,19.2,23.1,28.75,36
"emp_Y15-24_ED0-2",8.578,20.6,24.62,24.22,27.38,40.36
"emp_Y15-24_ED3-4",33.18,57.69,65.97,62.25,69.25,82.71
"emp_Y25-64_ED3-4",23.07,41.47,45.87,46.57,50.8,72.48
"emp_Y15-24_ED5-8",4.736,7.153,12.21,13.5,18.38,26.45
"emp_Y25-64_ED5-8",20.92,28.85,34.37,34.84,42.13,46.61
"emp_TP",3.849,5.978,8.93,9.816,13.3,17.38
"emp_Y15-24",12.81,16.07,26.63,29.18,41.25,50.2
"emp_YGE65",1.583,3.07,4.974,4.695,5.419,9.331
"emp_Y25-64_NaceA",1.647,3.108,3.936,4.774,4.273,13.07
"emp_Y15-24_NaceB-E",7.761,8.849,11.46,16.46,19.73,38.82
"emp_Y15-24_NaceF",3.847,5.331,7.477,7.121,7.909,12.04
"emp_Y25-64_NaceF",4.331,6.188,6.652,6.7,7.529,8.484
"emp_Y15-24_NaceG-I",28.27,33.27,36.21,38.14,43.38,49.18
"emp_Y25-64_NaceG-I",18.5,20.36,24.05,23.83,26.64,30.26
"emp_Y25-64_NaceJ",2.214,2.759,3,3.243,3.75,4.468
"emp_Y25-64_NaceK",2.186,2.352,2.699,2.675,2.81,3.514
"emp_Y15-24_NaceM_N",4.406,6.509,7.509,7.884,9.483,11.29
"emp_Y25-64_NaceM_N",7.068,8.534,10.2,9.83,10.71,13.04
"emp_Y15-24_NaceO-Q",6.681,11.35,13.36,13.57,14.92,22.42
"emp_Y15-24_NaceR-U",4.573,5.698,8.382,7.972,10.34,10.77
"emp_Y25-64_NaceR-U",3.807,4.547,4.724,5.55,6.608,8.007
