"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.06716,0.1121,0.1298,0.2692,0.3554,0.7525
"pop_Y25-64",0.5092,0.5333,0.5486,0.5454,0.562,0.5695
"pop_YGE75",0.06806,0.08323,0.08519,0.08925,0.09886,0.1073
"ARPR",0.097,0.1345,0.151,0.1649,0.2075,0.222
"low_work",0.062,0.0835,0.098,0.1127,0.1455,0.171
"rooms_pp",0.2308,0.3846,0.5385,0.5385,0.7308,0.7692
"mat_depriv",0.007,0.034,0.067,0.07771,0.0935,0.215
"ARPR_socexcl",0.148,0.171,0.192,0.231,0.2875,0.36
"emp_Y15-24_ED0-2",0.08578,0.206,0.2462,0.2422,0.2738,0.4036
"emp_Y15-24_ED3-4",0.3318,0.5769,0.6597,0.6225,0.6925,0.8271
"emp_Y25-64_ED3-4",0.2307,0.4147,0.4587,0.4657,0.508,0.7248
"emp_Y15-24_ED5-8",0.04736,0.07153,0.1221,0.135,0.1838,0.2645
"emp_Y25-64_ED5-8",0.2092,0.2885,0.3437,0.3484,0.4213,0.4661
"emp_TP",0.03849,0.05978,0.0893,0.09816,0.133,0.1738
"emp_Y15-24",0.1281,0.1607,0.2663,0.2918,0.4125,0.502
"emp_YGE65",0.01583,0.0307,0.04974,0.04695,0.05419,0.09331
"emp_Y25-64_NaceA",0.01647,0.03108,0.03936,0.04774,0.04273,0.1307
"emp_Y15-24_NaceB-E",0.07761,0.08849,0.1146,0.1646,0.1973,0.3882
"emp_Y15-24_NaceF",0.03847,0.05331,0.07477,0.07121,0.07909,0.1204
"emp_Y25-64_NaceF",0.04331,0.06188,0.06652,0.067,0.07529,0.08484
"emp_Y15-24_NaceG-I",0.2827,0.3327,0.3621,0.3814,0.4338,0.4918
"emp_Y25-64_NaceG-I",0.185,0.2036,0.2405,0.2383,0.2664,0.3026
"emp_Y25-64_NaceJ",0.02214,0.02759,0.03,0.03243,0.0375,0.04468
"emp_Y25-64_NaceK",0.02186,0.02352,0.02699,0.02675,0.0281,0.03514
"emp_Y15-24_NaceM_N",0.04406,0.06509,0.07509,0.07884,0.09483,0.1129
"emp_Y25-64_NaceM_N",0.07068,0.08534,0.102,0.0983,0.1071,0.1304
"emp_Y15-24_NaceO-Q",0.06681,0.1135,0.1336,0.1357,0.1492,0.2242
"emp_Y15-24_NaceR-U",0.04573,0.05698,0.08382,0.07972,0.1034,0.1077
"emp_Y25-64_NaceR-U",0.03807,0.04547,0.04724,0.0555,0.06608,0.08007
