"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",425400,2046000,9761000,21610000,40140000,80770000
"pop_Y0-14",13.18,14.55,15.02,15.48,16.52,18.54
"pop_Y15-24",9.708,10.76,11.9,11.7,12.43,14.25
"pop_Y65-74",7.414,8.942,9.775,9.633,10.58,10.91
"pop_YGE75",5.763,7.433,8.511,8.351,9.06,10.73
"low_work",6.1,8.425,9.65,10.02,12.1,17.1
"rooms_pp",1.1,1.4,1.75,1.675,1.9,2.2
"mat_depriv",0.7,4.95,6.9,8.675,10.85,24
"ARPR_socexcl",14.8,19.15,23.95,23.54,27.42,32.7
"emp_Y15-24_ED0-2",8.161,14.13,19.3,21.38,27.54,40.36
"emp_Y15-24_ED3-4",33.18,53.85,62.83,61.02,68.98,82.71
"emp_Y25-64_ED3-4",23.07,37.64,46.45,46.54,56.69,72.48
"emp_Y25-64_ED5-8",20.92,29.44,36.73,36.45,43.8,50.59
"emp_TP",3.393,5.869,8.39,9.407,11.56,17.81
"emp_Y25-64",62.14,68.73,71.32,71.83,75.21,83.1
"emp_Y25-64_NaceA",1.065,1.571,3.738,4.092,4.855,11.41
"emp_Y15-24_NaceB-E",5.785,11.06,15.76,17.15,21.72,38.82
"emp_Y25-64_NaceF",4.421,6.527,6.761,7.016,7.524,9.735
"emp_Y15-24_NaceG-I",26.45,32.19,34.92,35.28,38.34,47.04
"emp_Y25-64_NaceG-I",15,20.84,22.84,23.1,25.34,28.82
"emp_Y25-64_NaceJ",1.82,2.726,2.987,3.168,3.525,4.468
"emp_Y25-64_NaceK",1.422,2.339,2.748,3.458,3.516,13.22
"emp_Y25-64_NaceM_N",6.264,7.342,9.239,9.13,10.51,13.04
"emp_Y15-24_NaceO-Q",6.681,9.584,14.41,15.57,19.36,33.06
"emp_Y25-64_NaceO-Q",20.63,22.39,24.72,25.94,30.06,34.41
"emp_Y15-24_NaceR-U",3.773,4.955,5.92,6.873,8.601,10.77
"emp_Y25-64_NaceR-U",2.892,4.181,4.709,5.545,5.75,11.4
"unemp_Y15-24",3.763,5.76,7.173,8.397,10.65,18.85
"unemp_YGE25",2.837,3.66,4.825,5.715,6.533,15.54
"training",3.3,7.325,9.6,11.34,14.35,29.2
