"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.18,14.6,15.02,15.44,16.38,18.54
"pop_Y65-74",7.414,8.929,9.874,9.592,10.46,10.91
"low_work",6.1,7.875,9.75,10.47,12.18,17.1
"rooms_pp",1.1,1.25,1.65,1.614,1.9,2.2
"mat_depriv",0.7,5.225,7.25,9.327,11.35,24
"ARPR_socexcl",14.8,19.05,23.95,23.96,28.1,36
"emp_Y15-24_ED0-2",3.88,13.44,19.02,20.44,27.12,40.36
"emp_Y25-64_ED0-2",3.82,9.602,11.96,17.02,17.71,50.74
"emp_Y15-24_ED3-4",33.18,54.23,63.4,63.23,72.16,86.7
"emp_Y25-64_ED3-4",23.07,38.11,46.45,47.8,59.55,72.48
"emp_Y15-24_ED5-8",4.736,8.89,15.27,16.19,20.61,40.74
"emp_Y25-64_ED5-8",20.92,27.49,34.19,35.03,42.43,50.59
"emp_TF",39.14,45.02,46.95,47.65,50.31,56.99
"emp_TP",2.886,4.188,7.759,8.762,10.89,17.81
"emp_Y25-64",56.02,66.67,70.29,70.42,74.7,83.1
"emp_Y25-64_NaceA",1.065,1.924,3.738,4.46,5.357,13.07
"emp_Y15-24_NaceB-E",5.785,10.26,15.76,17.45,22.52,38.82
"emp_Y15-24_NaceF",3.611,5.704,7.458,7.125,8.322,12.04
"emp_Y25-64_NaceF",4.331,6.501,6.737,6.967,7.463,9.735
"emp_Y25-64_NaceG-I",15,21.01,23.23,23.4,26.33,30.26
"emp_Y25-64_NaceJ",2.207,2.643,2.957,3.133,3.494,4.468
"emp_Y25-64_NaceK",1.45,2.39,2.732,3.416,3.482,13.22
"emp_Y15-24_NaceM_N",3.326,5.926,7.524,7.545,9.03,12.59
"emp_Y25-64_NaceM_N",5.834,7.27,8.733,8.887,10.38,13.04
"emp_Y15-24_NaceO-Q",6.681,11.9,14.17,15.61,18.76,33.06
"emp_Y25-64_NaceO-Q",20.63,22.23,24.34,25.7,29.32,34.41
"emp_Y15-24_NaceR-U",3.773,4.866,6.034,6.747,8.372,10.77
"emp_Y25-64_NaceR-U",2.892,3.951,4.693,5.361,5.521,11.4
"GDP",16100,20950,23400,27090,30200,73000
"training",2.8,5.975,8.85,10.49,13.75,29.2
