"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",2001000,5442000,8836000,12380000,12870000,38020000
"pop_Y0-14",13.75,14.68,15.02,15.04,15.37,16.42
"pop_Y15-24",10.38,10.69,11.36,11.43,12.1,12.59
"pop_Y25-64",52.19,54.92,56.42,56.01,57.12,58.55
"pop_Y65-74",7.982,8.634,10.13,9.708,10.64,11.15
"ARPR",9.7,12.75,18.25,17.46,21.35,25.1
"low_work",7.1,7.275,8.6,9.088,10.35,12.1
"emp_Y15-24_ED0-2",6.604,9.489,12.34,18.17,28.49,34.85
"emp_Y25-64_ED3-4",23.77,53.15,57.91,55.65,63.73,72.48
"emp_Y15-24_ED5-8",4.736,8.252,10.67,11.77,15.3,21.13
"emp_Y25-64_ED5-8",19.83,23.64,29.08,30.05,34,46.61
"emp_TF",49.29,50.3,51.04,51.74,52.56,56.67
"emp_TP",1.403,3.609,4.219,4.859,6.073,9.223
"emp_Y15-24",20.31,22.08,22.92,25.92,27.62,40.01
"emp_Y25-64",66.02,68.53,69.71,70.65,72.53,76.6
"emp_YGE65",1.882,4.535,5.388,6.349,7.835,11.84
"emp_Y15-24_NaceB-E",11.46,16.83,22.1,23.17,28.07,38.82
"emp_Y25-64_NaceB-E",15.47,17.57,22.84,21.66,23.77,29.39
"emp_Y15-24_NaceF",3.611,7.096,7.643,7.518,8.432,10.27
"emp_Y25-64_NaceF",6.607,7.137,7.599,7.766,8.324,9.556
"emp_Y15-24_NaceG-I",20.78,31.47,34.11,33.03,36.39,41.32
"emp_Y25-64_NaceG-I",19.33,21.27,22.34,23.32,25.44,27.93
"emp_Y25-64_NaceJ",1.769,2.366,2.429,2.705,2.917,4.468
"emp_Y25-64_NaceL",0.2504,0.5742,0.7937,0.8927,0.9657,2.318
"emp_Y15-24_NaceM_N",3.424,4.538,5.787,6.255,7.422,9.855
"emp_Y15-24_NaceO-Q",3.109,7.099,10.52,9.886,13.05,15.81
"emp_Y15-24_NaceR-U",3.463,4.178,4.546,5.518,6.002,10.77
"unemp_Y15-24",5.014,6.868,7.432,8.078,9.484,11.83
"unemp_YGE25",3.589,4.528,5.888,5.984,7.283,8.769
"GDP",12800,16920,19850,20010,21850,30300
