"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",425400,2608000,9761000,20440000,31310000,80770000
"pop_Y0-14",13.18,14.6,15.02,15.44,16.38,18.54
"pop_Y65-74",7.414,8.929,9.874,9.592,10.46,10.91
"low_work",6.1,7.875,9.75,10.47,12.18,17.1
"rooms_pp",1.1,1.25,1.65,1.614,1.9,2.2
"mat_depriv",0.7,5.225,7.25,9.327,11.35,24
"emp_Y15-24_ED0-2",3.88,13.44,19.02,20.44,27.12,40.36
"emp_Y15-24_ED3-4",33.18,54.23,63.4,63.23,72.16,86.7
"emp_Y25-64_ED3-4",23.07,38.11,46.45,47.8,59.55,72.48
"emp_Y25-64_ED5-8",20.92,27.49,34.19,35.03,42.43,50.59
"emp_TP",2.886,4.188,7.759,8.762,10.89,17.81
"emp_Y25-64",56.02,66.67,70.29,70.42,74.7,83.1
"emp_YGE65",1.583,2.663,4.986,5.244,6.637,11.84
"emp_Y25-64_NaceA",1.065,1.924,3.738,4.46,5.357,13.07
"emp_Y15-24_NaceB-E",5.785,10.26,15.76,17.45,22.52,38.82
"emp_Y15-24_NaceF",3.611,5.704,7.458,7.125,8.322,12.04
"emp_Y15-24_NaceG-I",26.45,32.46,34.92,35.77,38.29,49.18
"emp_Y25-64_NaceG-I",15,21.01,23.23,23.4,26.33,30.26
"emp_Y25-64_NaceJ",2.207,2.643,2.957,3.133,3.494,4.468
"emp_Y25-64_NaceK",1.45,2.39,2.732,3.416,3.482,13.22
"emp_Y25-64_NaceL",0.117,0.4907,0.6575,0.8362,1.005,2.318
"emp_Y25-64_NaceM_N",5.834,7.27,8.733,8.887,10.38,13.04
"emp_Y15-24_NaceO-Q",6.681,11.9,14.17,15.61,18.76,33.06
"emp_Y25-64_NaceO-Q",20.63,22.23,24.34,25.7,29.32,34.41
"emp_Y15-24_NaceR-U",3.773,4.866,6.034,6.747,8.372,10.77
"emp_Y25-64_NaceR-U",2.892,3.951,4.693,5.361,5.521,11.4
"unemp_Y15-24",3.763,5.823,8.026,9.089,11.77,18.85
"unemp_YGE25",2.837,3.878,4.875,6.379,7.906,15.82
"GDP",16100,20950,23400,27090,30200,73000
"training",2.8,5.975,8.85,10.49,13.75,29.2
