"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.16,14.53,15.04,15.37,16.39,18.59
"pop_Y15-24",9.629,10.66,11.64,11.38,11.95,14.08
"pop_Y65-74",7.466,9.263,9.924,9.819,10.39,11.54
"low_work",6.1,7.6,9.7,10.33,12.1,17.1
"rooms_pp",1,1.2,1.6,1.56,1.9,2.2
"mat_depriv",0.7,5.9,9.9,11.11,13.9,33.1
"ARPR_socexcl",14.8,19.2,24.7,25.39,29.2,40.3
"emp_Y15-24_ED0-2",0.7164,2.516,4.71,5.87,7.77,16.25
"emp_Y25-64_ED3-4",14.42,26.59,38.59,34.54,40.27,55.65
"emp_Y15-24_ED5-8",0.8745,2.229,3.645,4.566,6.877,10.96
"emp_Y25-64_ED5-8",13.14,18.19,23.81,24.62,31.57,36.23
"emp_FT",39.48,45.11,48.71,48.23,51.39,57.33
"emp_PT",1.414,4.166,7.498,8.197,10.44,17.81
"emp_Y25-64",56.52,68.59,70.58,70.54,74.92,82.38
"emp_Y25-64_NaceA",0.8021,1.982,2.912,3.799,4.998,16.82
"emp_Y15-24_NaceB-E",1.015,3.378,4.625,4.957,6.413,10.7
"emp_Y25-64_NaceB-E",4.471,9.779,12.8,12.7,15.86,22.57
"emp_Y15-24_NaceF",0.5392,1.337,1.803,2.109,2.842,6.116
"emp_Y25-64_NaceG-I",10.74,15.03,16.43,16.56,18.02,20.51
"emp_Y25-64_NaceJ",1.223,1.688,1.958,2.135,2.337,3.672
"emp_Y25-64_NaceK",0.9622,1.558,1.71,2.257,2.473,9.47
"emp_Y25-64_NaceL",0.06612,0.3317,0.4441,0.5854,0.709,1.677
"emp_Y15-24_NaceM_N",0.6141,1.236,1.79,2.207,2.852,4.863
"emp_Y25-64_NaceM_N",3.193,5.041,5.5,6.076,6.741,10.74
"emp_Y15-24_NaceO-Q",0.7149,2.181,2.858,4.285,5.944,10.59
"emp_Y25-64_NaceO-Q",9.392,14.23,16.91,17.66,20.74,28.34
"emp_Y15-24_NaceR-U",0.7908,1.187,1.642,1.835,2.097,4.347
"emp_Y25-64_NaceR-U",1.856,2.67,3.348,3.601,3.984,8.166
"GDP",12800,19900,22600,25780,29900,73000
"training",1.5,4,8,9.58,12.1,29.2
