"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.18,14.6,15.01,15.41,16.34,18.54
"pop_Y65-74",7.414,8.935,9.783,9.583,10.36,10.91
"pop_YGE75",5.532,7.357,8.519,8.336,9.071,10.73
"ARPR",9.7,14.45,16.4,16.72,19.4,22.2
"rooms_pp",1.1,1.3,1.6,1.604,1.9,2.2
"mat_depriv",0.7,5.45,7.4,9.513,12.6,24
"emp_Y15-24_ED0-2",3.88,12.1,18.39,19.9,26.93,40.36
"emp_Y15-24_ED3-4",33.18,54.24,64.17,63.32,71.37,86.7
"emp_Y25-64_ED3-4",23.07,38.32,47.02,48,58.9,72.48
"emp_Y15-24_ED5-8",4.736,9.068,15.62,16.64,22.56,40.74
"emp_Y25-64_ED5-8",20.92,27.54,34.37,35.41,43.22,50.59
"emp_TF",39.14,45.07,47.11,47.89,50.87,56.99
"emp_TP",2.886,4.219,7.669,8.614,10.76,17.81
"emp_Y25-64_NaceA",1.065,2.202,3.789,4.66,6.349,13.07
"emp_Y15-24_NaceB-E",5.785,10.66,16.25,17.55,22.12,38.82
"emp_Y25-64_NaceF",4.331,6.514,6.751,6.997,7.572,9.735
"emp_Y15-24_NaceG-I",26.45,32.47,35.11,35.88,38.35,49.18
"emp_Y25-64_NaceG-I",15,21.14,23.59,23.57,27.08,30.26
"emp_Y25-64_NaceJ",1.82,2.58,2.94,3.076,3.485,4.468
"emp_Y25-64_NaceK",1.422,2.297,2.699,3.33,3.45,13.22
"emp_Y25-64_NaceL",0.117,0.5005,0.6609,0.8513,1.076,2.318
"emp_Y15-24_NaceM_N",3.326,5.959,7.538,7.625,9.246,12.59
"emp_Y25-64_NaceM_N",5.834,7.151,8.437,8.805,10.38,13.04
"emp_Y15-24_NaceO-Q",6.681,10.61,14.03,15.24,18.64,33.06
"emp_Y25-64_NaceO-Q",20.63,22.31,24.15,25.59,28.73,34.41
"emp_Y15-24_NaceR-U",3.773,4.911,6.024,6.707,8.363,10.77
"emp_Y25-64_NaceR-U",2.892,4.027,4.662,5.31,5.519,11.4
"unemp_YGE25",2.837,3.991,4.883,6.413,7.679,15.82
"GDP",16100,20750,23200,26810,30100,73000
"training",2.8,5.35,8.1,10.26,13.2,29.2
