"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",0.1318,0.1459,0.1501,0.1534,0.1627,0.1854
"pop_Y25-64",0.5092,0.5447,0.5513,0.5511,0.5653,0.5855
"pop_Y65-74",0.07414,0.08923,0.09783,0.09616,0.1056,0.1115
"low_work",0.061,0.076,0.097,0.1033,0.121,0.171
"rooms_pp",0.07692,0.2308,0.5385,0.5077,0.7692,1
"mat_depriv",0.007,0.059,0.099,0.1111,0.139,0.331
"ARPR_socexcl",0.148,0.192,0.247,0.2539,0.292,0.403
"emp_Y15-24_ED0-2",0.0388,0.1111,0.1839,0.2009,0.2731,0.4036
"emp_Y15-24_ED3-4",0.3318,0.5426,0.6417,0.6361,0.7294,0.867
"emp_Y25-64_ED3-4",0.2307,0.3876,0.5192,0.4874,0.5821,0.7248
"emp_Y15-24_ED5-8",0.04736,0.08756,0.1491,0.1617,0.2113,0.4074
"emp_Y25-64_ED5-8",0.1983,0.2745,0.3401,0.3468,0.4274,0.5059
"emp_TP",0.01403,0.04158,0.0746,0.08205,0.1051,0.1781
"emp_Y25-64",0.5602,0.6801,0.702,0.7043,0.7472,0.831
"emp_Y25-64_NaceA",0.01065,0.02757,0.03936,0.05533,0.0709,0.2433
"emp_Y15-24_NaceB-E",0.05785,0.1146,0.1757,0.177,0.2132,0.3882
"emp_Y15-24_NaceF",0.03611,0.06208,0.07438,0.07155,0.08289,0.1204
"emp_Y25-64_NaceF",0.04331,0.0654,0.06771,0.07039,0.07669,0.09735
"emp_Y25-64_NaceG-I",0.15,0.2087,0.2359,0.2364,0.2728,0.3026
"emp_Y25-64_NaceJ",0.01769,0.02435,0.02875,0.02997,0.03466,0.04468
"emp_Y25-64_NaceK",0.01392,0.02186,0.02491,0.03201,0.03385,0.1322
"emp_Y25-64_NaceL",0.00117,0.004782,0.00654,0.008082,0.01024,0.02318
"emp_Y15-24_NaceM_N",0.03326,0.05893,0.07509,0.07422,0.09111,0.1259
"emp_Y25-64_NaceM_N",0.04619,0.07,0.08039,0.08557,0.1037,0.1304
"emp_Y15-24_NaceO-Q",0.03109,0.09446,0.1375,0.1433,0.1841,0.3306
"emp_Y25-64_NaceO-Q",0.1358,0.2212,0.2357,0.2489,0.2753,0.3441
"emp_Y15-24_NaceR-U",0.03463,0.04661,0.05816,0.06489,0.08344,0.1077
"emp_Y25-64_NaceR-U",0.02684,0.03807,0.0459,0.05119,0.05513,0.114
"GDP",0.0329,0.08369,0.103,0.1258,0.1552,0.4635
"training",0.015,0.04,0.08,0.0958,0.121,0.292
