"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.004933,0.04768,0.1125,0.2234,0.217,1
"pop_Y0-14",0.1316,0.1456,0.1518,0.1572,0.1667,0.2214
"pop_Y15-24",0.09629,0.1066,0.1165,0.1145,0.1218,0.1408
"pop_Y65-74",0.07466,0.09227,0.09944,0.09796,0.1047,0.1154
"pop_YGE75",0.05441,0.07495,0.08497,0.08314,0.0916,0.1101
"ARPR",0.097,0.1433,0.164,0.1684,0.1942,0.251
"low_work",0.061,0.08425,0.098,0.1074,0.1212,0.208
"mat_depriv",0.007,0.0495,0.079,0.1045,0.1368,0.331
"emp_Y15-24_ED3-4",0.05554,0.1295,0.1841,0.1851,0.2405,0.2843
"emp_Y25-64_ED3-4",0.1442,0.2645,0.3561,0.3405,0.4025,0.5565
"emp_Y15-24_ED5-8",0.008745,0.02296,0.03659,0.04702,0.07005,0.1096
"emp_Y25-64_ED5-8",0.1314,0.1875,0.2526,0.2526,0.3168,0.3623
"emp_FT",0.3191,0.4488,0.474,0.4745,0.5104,0.5733
"emp_Y15-24",0.1308,0.2246,0.2713,0.3042,0.4104,0.5808
"emp_Y25-64",0.5652,0.6867,0.7061,0.7091,0.7537,0.8238
"emp_Y15-24_NaceB-E",0.01015,0.03212,0.04283,0.04775,0.06396,0.107
"emp_Y25-64_NaceB-E",0.04471,0.09575,0.1212,0.1235,0.1575,0.2257
"emp_Y15-24_NaceF",0.005392,0.01297,0.01796,0.02079,0.02843,0.06116
"emp_Y25-64_NaceF",0.02448,0.04199,0.049,0.0492,0.05472,0.07481
"emp_Y25-64_NaceG-I",0.1074,0.1479,0.1635,0.1642,0.1787,0.2051
"emp_Y25-64_NaceJ",0.01223,0.01699,0.02146,0.02221,0.02542,0.03672
"emp_Y25-64_NaceK",0.009622,0.01562,0.01797,0.02331,0.02579,0.0947
"emp_Y15-24_NaceM_N",0.006141,0.01312,0.02038,0.02374,0.03461,0.05797
"emp_Y25-64_NaceM_N",0.03193,0.05078,0.05969,0.06242,0.07142,0.1074
"emp_Y15-24_NaceO-Q",0.007149,0.0221,0.03731,0.04578,0.06568,0.1059
"emp_Y25-64_NaceR-U",0.01856,0.02673,0.03352,0.03576,0.03926,0.08166
"unemp_Y15-24",0.03785,0.06501,0.07813,0.08896,0.1074,0.1902
"unemp_YGE25",0.02799,0.03816,0.04863,0.06191,0.07062,0.1593
"GDP",0.0329,0.08745,0.1087,0.1333,0.176,0.4635
"training",0.015,0.04825,0.0805,0.1059,0.1435,0.319
