"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",425400,3921000,9076000,18110000,17610000,80770000
"pop_Y0-14",13.18,14.6,15.12,15.71,16.86,22
"pop_Y15-24",9.708,10.76,11.88,11.68,12.42,14.25
"pop_Y65-74",7.303,8.916,9.867,9.59,10.58,11.15
"pop_YGE75",5.306,7.333,8.333,8.139,8.958,10.73
"ARPR",9.7,14.32,16.4,16.84,19.42,25.1
"low_work",6.1,8.425,9.8,10.74,12.12,20.8
"mat_depriv",0.7,4.95,7.9,10.45,13.68,33.1
"emp_Y15-24_ED0-2",3.88,11.02,19.02,21.51,29.75,48.38
"emp_Y25-64_ED0-2",3.82,9.631,13.19,16.4,17.93,50.74
"emp_Y25-64_ED3-4",23.07,38.54,46.45,47.84,57.76,72.48
"emp_Y15-24_ED5-8",4.736,8.745,13.74,16.02,21.85,40.74
"emp_Y25-64_ED5-8",19.83,27.59,34.63,35.41,42.98,50.59
"emp_TF",32.06,44.96,47.39,47.4,50.76,56.99
"emp_Y15-24",12.81,22,26.68,29.93,40.63,58.41
"emp_Y25-64",56.02,68.46,70.29,70.82,75.02,83.1
"emp_Y15-24_NaceB-E",5.548,9.148,15.76,16.6,21.29,38.82
"emp_Y15-24_NaceF",2.629,5.448,7.308,6.808,8.036,12.04
"emp_Y25-64_NaceF",4.331,6.224,6.737,6.906,7.524,9.735
"emp_Y15-24_NaceG-I",20.78,32.49,36.56,36.75,41.38,49.18
"emp_Y25-64_NaceJ",1.769,2.517,2.957,3.103,3.525,4.468
"emp_Y25-64_NaceK",1.392,2.206,2.732,3.289,3.516,13.22
"emp_Y25-64_NaceM_N",4.619,7.051,8.715,8.744,10.38,13.04
"emp_Y15-24_NaceO-Q",3.109,9.584,13.76,14.38,18.07,33.06
"emp_Y15-24_NaceR-U",3.463,4.639,5.92,6.504,8.332,10.77
"emp_Y25-64_NaceR-U",2.684,3.858,4.576,5.059,5.4,11.4
"unemp_Y15-24",3.763,6.248,7.572,8.747,10.65,18.85
"unemp_YGE25",2.837,3.838,4.875,6.19,7.014,15.82
"GDP",12800,20420,23400,26840,32800,73000
"training",1.5,4.825,8.05,10.59,14.35,31.9
