"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.001238,0.01192,0.01803,0.02315,0.02792,0.1486
"pop_Y0-14",0.1101,0.1397,0.1531,0.1559,0.1696,0.342
"pop_Y15-24",0.07323,0.1075,0.1152,0.1144,0.124,0.1589
"pop_Y25-64",0.4531,0.5186,0.5444,0.542,0.5609,0.6218
"pop_Y65-74",0.02973,0.08948,0.1003,0.09841,0.1077,0.1308
"pop_YGE75",0.01623,0.07514,0.08811,0.0894,0.1034,0.1474
"emp_Y25-64_ED0-2",0.01943,0.1058,0.1538,0.1789,0.2159,0.567
"emp_Y15-24_ED3-4",0.2358,0.5432,0.6098,0.6078,0.6935,0.8983
"emp_Y25-64_ED3-4",0.1752,0.394,0.4761,0.484,0.5913,0.767
"emp_Y25-64_ED5-8",0.1362,0.265,0.3317,0.3335,0.3958,0.7449
"emp_TF",0.2674,0.4255,0.4577,0.4523,0.4832,0.6106
"emp_TP",0.009339,0.06433,0.1097,0.1222,0.174,0.3473
"emp_Y15-24",0.06592,0.2016,0.2965,0.3278,0.4558,0.7716
"emp_Y25-64",0.4517,0.6637,0.7297,0.7126,0.7776,1.028
"emp_Y25-64_NaceB-E",0.02856,0.1218,0.1644,0.1747,0.2228,0.403
"emp_Y25-64_NaceF",0.03325,0.06067,0.06887,0.06967,0.07836,0.1141
"emp_Y25-64_NaceG-I",0.137,0.2014,0.2203,0.2273,0.2424,0.4471
"emp_Y25-64_NaceM_N",0.02296,0.07,0.08813,0.08982,0.107,0.222
"emp_Y25-64_NaceO-Q",0.1017,0.2264,0.2709,0.2723,0.3149,0.4468
"emp_Y25-64_NaceR-U",0.01465,0.03757,0.04615,0.04861,0.05528,0.1177
"unemp_YGE25",0.01561,0.03246,0.04503,0.05781,0.0671,0.2211
"GDP",0.003577,0.08369,0.1202,0.131,0.1624,1
"disp_income",0.04242,0.2061,0.3242,0.3115,0.3939,1
"training",0.007,0.063,0.095,0.111,0.159,0.36
