"","mean","n","stdev"
"pop_Total",1114204,1,NA
"pop_Y0-14",15.8078771930454,1,NA
"pop_Y15-24",11.8544718920413,1,NA
"pop_Y25-64",61.4298638310399,1,NA
"pop_Y65-74",6.06298308029768,1,NA
"pop_YGE75",4.84480400357565,1,NA
"ARPR",NA,0,NA
"low_work",NA,0,NA
"rooms_pp",NA,0,NA
"mat_depriv",NA,0,NA
"ARPR_socexcl",NA,0,NA
"emp_Y15-24_ED0-2",NA,0,NA
"emp_Y25-64_ED0-2",7.25063688026651,1,NA
"emp_Y15-24_ED3-4",34.3853820598007,1,NA
"emp_Y25-64_ED3-4",17.5191064079953,1,NA
"emp_Y15-24_ED5-8",61.7940199335548,1,NA
"emp_Y25-64_ED5-8",74.4855967078189,1,NA
"emp_TF",53.3089919476615,1,NA
"emp_TP",13.7542402309265,1,NA
"emp_Y15-24",45.577402088081,1,NA
"emp_Y25-64",74.5557773057064,1,NA
"emp_YGE65",19.7473978689266,1,NA
"emp_Y15-24_NaceA",NA,0,NA
"emp_Y25-64_NaceA",NA,0,NA
"emp_Y15-24_NaceB-E",NA,0,NA
"emp_Y25-64_NaceB-E",4.54634528708603,1,NA
"emp_Y15-24_NaceF",NA,0,NA
"emp_Y25-64_NaceF",5.01665686850872,1,NA
"emp_Y15-24_NaceG-I",27.7408637873754,1,NA
"emp_Y25-64_NaceG-I",13.6978248089359,1,NA
"emp_Y15-24_NaceJ",NA,0,NA
"emp_Y25-64_NaceJ",9.73936899862826,1,NA
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",11.7773858514599,1,NA
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",0.979815794630609,1,NA
"emp_Y15-24_NaceM_N",15.1162790697674,1,NA
"emp_Y25-64_NaceM_N",22.2026259063296,1,NA
"emp_Y15-24_NaceO-Q",19.4352159468439,1,NA
"emp_Y25-64_NaceO-Q",22.7317264354301,1,NA
"emp_Y15-24_NaceR-U",17.4418604651163,1,NA
"emp_Y25-64_NaceR-U",8.13247109543406,1,NA
"unemp_Y15-24",5.98108764943255,1,NA
"unemp_YGE25",4.20208295656429,1,NA
"GDP",148000,1,NA
"GVAgr",NA,0,NA
"disp_income",37900,1,NA
"training",20.9,1,NA
