Sets to variables test for over-representation
76 variables tested, 29 have p < 0.05 
Selected set size: 7 
    Universe size: 276 
                 vars         pval         adjp      odds      exp obs size
1        earn_OC6_B-F 1.437324e-06 7.468685e-05       Inf 1.090580   7   43
2        earn_OC2_B-F 7.899389e-06 7.468685e-05       Inf 1.369565   7   54
3        earn_OC3_B-F 7.899389e-06 7.468685e-05       Inf 1.369565   7   54
4        earn_OC4_B-F 7.899389e-06 7.468685e-05       Inf 1.369565   7   54
5         disp_income 9.051384e-06 7.468685e-05       Inf 1.394928   7   55
6        earn_OC1_G-N 9.051384e-06 7.468685e-05       Inf 1.394928   7   55
7        earn_OC4_G-N 9.051384e-06 7.468685e-05       Inf 1.394928   7   55
8        earn_OC2_G-N 1.034444e-05 7.468685e-05       Inf 1.420290   7   56
9                 GDP 1.179266e-05 7.468685e-05       Inf 1.445652   7   57
10       earn_OC3_G-N 1.179266e-05 7.468685e-05       Inf 1.445652   7   57
11       earn_OC3_P-S 1.179266e-05 7.468685e-05       Inf 1.445652   7   57
12       earn_OC4_P-S 1.179266e-05 7.468685e-05       Inf 1.445652   7   57
13       earn_OC1_B-F 1.521662e-05 8.895872e-05       Inf 1.496377   7   59
14       earn_OC7_B-F 2.193606e-05 1.190815e-04       Inf 1.572464   7   62
15       earn_OC6_P-S 2.467807e-05 1.250356e-04       Inf 1.597826   7   63
16       earn_OC8_B-F 2.770871e-05 1.316164e-04       Inf 1.623188   7   64
17       earn_OC7_G-N 4.812311e-05 2.151386e-04       Inf 1.750000   7   69
18       earn_OC1_P-S 5.347012e-05 2.257627e-04       Inf 1.775362   7   70
19       earn_OC2_P-S 7.267543e-05 2.907017e-04       Inf 1.851449   7   73
20   emp_Y25-64_NaceJ 1.454191e-04 5.525925e-04 31.534884 1.242754   6   49
21       earn_OC9_P-S 1.695735e-04 6.136945e-04       Inf 2.079710   7   82
22          pop_Total 3.289531e-04 1.136384e-03 26.280000 1.420290   6   56
23 emp_Y15-24_NaceO-Q 1.225262e-03 4.048692e-03 15.197368 1.090580   5   43
24   emp_Y25-64_NaceK 3.104692e-03 9.831524e-03 11.808511 1.318841   5   52
25 emp_Y25-64_NaceM_N 4.066916e-03 1.236342e-02 10.950000 1.394928   5   55
26   emp_Y15-24_ED0-2 1.902411e-02 5.560895e-02  6.818182 1.217391   4   48
27   emp_Y25-64_ED3-4 3.311177e-02 8.677568e-02  5.564103 1.420290   4   56
28             emp_PT 3.311177e-02 8.677568e-02  5.564103 1.420290   4   56
29         emp_Y25-64 3.311177e-02 8.677568e-02  5.564103 1.420290   4   56
