Sets to variables test for over-representation
76 variables tested, 31 have p < 0.05 
Selected set size: 16 
    Universe size: 276 
                 vars         pval         adjp       odds      exp obs size
1         disp_income 8.550891e-13 3.885356e-11        Inf 3.188406  16   55
2        earn_OC6_B-F 1.022462e-12 3.885356e-11 124.285714 2.492754  15   43
3        earn_OC1_B-F 3.153499e-12 7.988864e-11        Inf 3.420290  16   59
4    emp_Y15-24_ED0-2 7.229440e-12 1.373594e-10 103.181818 2.782609  15   48
5        earn_OC2_B-F 5.582954e-11 5.281652e-10  85.000000 3.130435  15   54
6        earn_OC3_B-F 5.582954e-11 5.281652e-10  85.000000 3.130435  15   54
7        earn_OC4_B-F 5.582954e-11 5.281652e-10  85.000000 3.130435  15   54
8  emp_Y15-24_NaceO-Q 6.191285e-11 5.281652e-10  55.758621 2.492754  14   43
9        earn_OC1_P-S 7.128575e-11 5.281652e-10        Inf 4.057971  16   70
10       earn_OC1_G-N 7.644497e-11 5.281652e-10  82.500000 3.188406  15   55
11       earn_OC4_G-N 7.644497e-11 5.281652e-10  82.500000 3.188406  15   55
12       earn_OC2_G-N 1.039747e-10 6.585062e-10  80.121951 3.246377  15   56
13       earn_OC3_G-N 1.405141e-10 7.119380e-10  77.857143 3.304348  15   57
14       earn_OC3_P-S 1.405141e-10 7.119380e-10  77.857143 3.304348  15   57
15       earn_OC4_P-S 1.405141e-10 7.119380e-10  77.857143 3.304348  15   57
16       earn_OC2_P-S 1.515273e-10 7.197547e-10        Inf 4.231884  16   73
17       earn_OC7_B-F 5.802287e-10 2.593963e-09  67.978723 3.594203  15   62
18       earn_OC6_P-S 7.582591e-10 3.201538e-09  66.250000 3.652174  15   63
19       earn_OC8_B-F 9.860807e-10 3.944323e-09  64.591837 3.710145  15   64
20       earn_OC7_G-N 3.427826e-09 1.302574e-08  57.222222 4.000000  15   69
21   emp_Y25-64_ED3-4 4.123311e-09 1.492246e-08  36.333333 3.246377  14   56
22 emp_Y15-24_NaceB-E 4.384917e-09 1.514790e-08  30.875000 2.608696  13   45
23       earn_OC9_P-S 5.677924e-08 1.876184e-07  43.208955 4.753623  15   82
24             emp_PT 9.921644e-08 3.141854e-07  21.868217 3.246377  13   56
25   emp_Y15-24_NaceF 1.044614e-06 3.175627e-06  16.388889 1.971014  10   34
26 emp_Y25-64_NaceB-E 1.573307e-05 4.598896e-05  10.800000 3.188406  11   55
27                GDP 2.328548e-05 6.554432e-05  10.234783 3.304348  11   57
28         emp_Y25-64 1.696397e-04 4.604506e-04   7.753623 3.246377  10   56
29   emp_Y15-24_ED3-4 4.704006e-03 1.232774e-02   4.652174 3.130435   8   54
30         emp_Y15-24 5.336005e-03 1.351788e-02   4.531915 3.188406   8   55
31          pop_YGE75 2.482323e-02 6.085696e-02   3.349206 3.246377   7   56
