"","v1","v2","cor"
"1127","emp_Y15-24_NaceA","emp_Y25-64_NaceA",0.921
"487","ARPR","ARPR_socexcl",0.904
"1225","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E",0.884
"2266","mat_depriv","training",-0.847
"2253","GDP","disp_income",0.837
"1664","emp_Y25-64_NaceJ","emp_Y15-24_NaceL",0.829
"980","emp_Y15-24","emp_Y25-64",0.815
"931","emp_TP","emp_Y15-24",0.806
"1665","emp_Y15-24_NaceK","emp_Y15-24_NaceL",0.8
"2195","emp_Y15-24_NaceL","GVAgr",0.8
"968","low_work","emp_Y25-64",-0.755
"971","ARPR_socexcl","emp_Y25-64",-0.75
"2085","emp_Y25-64","unemp_YGE25",-0.746
"2135","emp_Y15-24_NaceA","GDP",-0.744
"1808","emp_Y25-64_NaceJ","emp_Y25-64_NaceM_N",0.733
"490","mat_depriv","ARPR_socexcl",0.732
"2084","emp_Y15-24","unemp_YGE25",-0.73
"1167","emp_Y25-64_ED3-4","emp_Y15-24_NaceB-E",0.725
"2136","emp_Y25-64_NaceA","GDP",-0.723
"2227","emp_TP","disp_income",0.722
"1800","emp_Y25-64_NaceA","emp_Y25-64_NaceM_N",-0.719
"979","emp_TP","emp_Y25-64",0.718
"1876","pop_Y25-64","emp_Y25-64_NaceO-Q",-0.717
"1663","emp_Y15-24_NaceJ","emp_Y15-24_NaceL",0.714
"2072","low_work","unemp_YGE25",0.709
"2265","rooms_pp","training",0.706
"967","ARPR","emp_Y25-64",-0.705
"2123","ARPR_socexcl","GDP",-0.704
"1067","ARPR_socexcl","emp_Y15-24_NaceA",0.701
"1639","ARPR","emp_Y15-24_NaceL",-0.7
"1643","ARPR_socexcl","emp_Y15-24_NaceL",-0.7
"441","rooms_pp","mat_depriv",-0.693
"2107","unemp_Y15-24","unemp_YGE25",0.689
"2131","emp_TP","GDP",0.687
"2279","emp_Y15-24_NaceA","training",-0.683
"685","emp_Y25-64_ED0-2","emp_Y25-64_ED3-4",-0.682
"1215","emp_Y25-64_ED3-4","emp_Y25-64_NaceB-E",0.681
"824","low_work","emp_TF",-0.677
"2150","emp_Y25-64_NaceM_N","GDP",0.675
"2122","mat_depriv","GDP",-0.674
"1169","emp_Y25-64_ED5-8","emp_Y15-24_NaceB-E",-0.673
"1799","emp_Y15-24_NaceA","emp_Y25-64_NaceM_N",-0.669
"2231","emp_Y15-24_NaceA","disp_income",-0.668
"1111","ARPR","emp_Y25-64_NaceA",0.667
"1616","emp_Y25-64_NaceJ","emp_Y25-64_NaceK",0.667
"1641","rooms_pp","emp_Y15-24_NaceL",-0.667
"2119","ARPR","GDP",-0.666
"488","low_work","ARPR_socexcl",0.661
"2146","emp_Y25-64_NaceK","GDP",0.66
"343","ARPR","low_work",0.657
