"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",128600,990700,1484000,1898000,2283000,12030000
"pop_Y0-14",11.01,13.97,15.31,15.59,16.96,34.2
"pop_Y15-24",7.323,10.75,11.52,11.44,12.4,15.89
"pop_Y25-64",45.31,51.86,54.44,54.2,56.09,62.18
"pop_Y65-74",2.973,8.948,10.03,9.841,10.77,13.08
"pop_YGE75",1.623,7.514,8.811,8.94,10.34,14.74
"emp_Y25-64_ED0-2",1.943,10.58,15.38,17.89,21.59,56.7
"emp_Y15-24_ED3-4",23.58,54.32,60.98,60.78,69.35,89.83
"emp_Y25-64_ED3-4",17.52,39.4,47.61,48.4,59.13,76.7
"emp_Y25-64_ED5-8",13.62,26.5,33.17,33.35,39.58,74.49
"emp_TF",26.74,42.55,45.77,45.23,48.32,61.06
"emp_TP",0.9339,6.433,10.97,12.22,17.4,34.73
"emp_Y15-24",6.592,20.16,29.65,32.78,45.58,77.16
"emp_Y25-64",45.17,66.37,72.97,71.26,77.76,102.8
"emp_Y25-64_NaceB-E",2.856,12.18,16.44,17.47,22.28,40.3
"emp_Y25-64_NaceF",3.325,6.067,6.887,6.967,7.836,11.41
"emp_Y25-64_NaceG-I",13.7,20.14,22.03,22.73,24.24,44.71
"emp_Y25-64_NaceM_N",2.296,7,8.813,8.982,10.7,22.2
"emp_Y25-64_NaceO-Q",10.17,22.64,27.09,27.23,31.49,44.68
"emp_Y25-64_NaceR-U",1.465,3.757,4.615,4.861,5.528,11.77
"unemp_YGE25",1.561,3.246,4.503,5.781,6.71,22.11
"GDP",8700,19900,25000,26520,30900,148000
"disp_income",6300,11700,15600,15180,17900,37900
"training",0.7,6.3,9.5,11.1,15.9,36
