"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.007304,0.01479,0.01963,0.02324,0.02792,0.0652
"pop_Y0-14",0.1253,0.1414,0.1507,0.1508,0.1567,0.1799
"pop_Y15-24",0.09022,0.1097,0.1152,0.117,0.1254,0.1406
"pop_Y25-64",0.5061,0.5618,0.568,0.5683,0.5797,0.6218
"pop_Y65-74",0.06959,0.07901,0.08909,0.09199,0.1057,0.1293
"pop_YGE75",0.04979,0.06342,0.07051,0.07196,0.07863,0.0969
"emp_Y25-64_ED0-2",0.01943,0.04308,0.06576,0.08817,0.1014,0.3121
"emp_Y15-24_ED3-4",0.4834,0.6935,0.7507,0.7418,0.7985,0.8983
"emp_Y25-64_ED3-4",0.3594,0.5761,0.6106,0.6186,0.6634,0.767
"emp_Y25-64_ED5-8",0.1362,0.2073,0.2968,0.2932,0.3394,0.5392
"emp_TF",0.3979,0.4695,0.5053,0.5112,0.5501,0.6106
"emp_TP",0.009339,0.0311,0.03464,0.04303,0.04879,0.1092
"emp_Y15-24",0.1436,0.1896,0.2416,0.2441,0.268,0.4302
"emp_Y25-64_NaceB-E",0.1051,0.1742,0.2436,0.238,0.279,0.403
"emp_Y25-64_NaceF",0.05292,0.06923,0.07818,0.07857,0.08456,0.1141
"emp_Y15-24_NaceG-I",0.1385,0.2792,0.3192,0.3212,0.3486,0.491
"emp_Y25-64_NaceG-I",0.165,0.2002,0.218,0.2235,0.2345,0.3391
"emp_Y25-64_NaceM_N",0.02296,0.04304,0.05819,0.06377,0.07177,0.1423
"emp_Y25-64_NaceO-Q",0.1017,0.1979,0.2079,0.2116,0.2318,0.3405
"emp_Y25-64_NaceR-U",0.01662,0.02617,0.02968,0.03326,0.03939,0.06488
"unemp_YGE25",0.01561,0.04053,0.04682,0.05054,0.05972,0.1025
"GDP",0.003577,0.03791,0.06438,0.07929,0.09013,0.3076
"disp_income",0.04242,0.1121,0.1545,0.1705,0.1909,0.397
"training",0.008,0.025,0.033,0.06064,0.078,0.291
