"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.0006857,0.01348,0.01837,0.02505,0.02781,0.1229
"pop_Y0-14",0.1104,0.1421,0.1575,0.1583,0.1707,0.2394
"pop_Y15-24",0.07425,0.09569,0.1119,0.1106,0.1255,0.1446
"pop_Y25-64",0.4883,0.5143,0.5408,0.5394,0.5588,0.6118
"pop_Y65-74",0.04292,0.09271,0.1042,0.1006,0.1112,0.1338
"pop_YGE75",0.03517,0.07376,0.08904,0.09105,0.1051,0.151
"emp_Y25-64_ED0-2",0.01588,0.1188,0.1449,0.1525,0.2038,0.2834
"emp_Y25-64_ED3-4",0.1026,0.1967,0.306,0.2936,0.3443,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1551,0.2606,0.2561,0.3227,0.551
"emp_FT",0.2762,0.4179,0.454,0.4495,0.4767,0.5934
"emp_PT",0.02621,0.07386,0.1039,0.1203,0.1708,0.2832
"emp_Y25-64",0.4518,0.6811,0.7312,0.7067,0.7668,1.035
"emp_Y25-64_NaceG-I",0.1013,0.1496,0.1591,0.1628,0.1766,0.2731
"emp_Y25-64_NaceO-Q",0.1114,0.1447,0.1728,0.1933,0.2406,0.3305
"GDP",0.05651,0.09299,0.1137,0.1356,0.1466,1
