"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01097,0.01775,0.02262,0.02707,0.1486
"pop_Y0-14",0.1104,0.1383,0.1528,0.1564,0.1686,0.4413
"pop_Y15-24",0.07057,0.1055,0.1139,0.1127,0.1213,0.1644
"pop_Y25-64",0.3682,0.5164,0.5442,0.5398,0.5593,0.6118
"pop_Y65-74",0.01672,0.09167,0.1006,0.09898,0.1087,0.1338
"pop_YGE75",0.009382,0.07652,0.09348,0.09211,0.1063,0.151
"emp_Y25-64_ED0-2",0.01588,0.07751,0.1114,0.1259,0.1627,0.4341
"emp_Y25-64_ED3-4",0.1026,0.253,0.3419,0.3405,0.4302,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1745,0.2294,0.2388,0.2905,0.551
"emp_FT",0.21,0.4287,0.4565,0.454,0.4804,0.609
"emp_PT",0.02045,0.06545,0.1047,0.1142,0.1689,0.2832
"emp_Y25-64",0.328,0.6568,0.7265,0.7073,0.7753,1.035
"emp_Y25-64_NaceG-I",0.06105,0.1425,0.159,0.1606,0.1762,0.2861
"emp_Y25-64_NaceO-Q",0.09081,0.1532,0.2051,0.1965,0.2327,0.3425
"GDP",0.001431,0.0853,0.1162,0.1325,0.1622,1
