"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01225,0.01804,0.0235,0.02774,0.1486
"pop_Y0-14",0.1104,0.138,0.1544,0.1571,0.1692,0.4413
"pop_Y15-24",0.07057,0.1068,0.1142,0.1132,0.1222,0.1644
"pop_Y25-64",0.3682,0.5157,0.5445,0.5393,0.5592,0.6118
"pop_Y65-74",0.01672,0.09184,0.1006,0.09899,0.1092,0.1338
"pop_YGE75",0.009382,0.07637,0.09256,0.09146,0.1054,0.151
"emp_Y25-64_ED0-2",0.01588,0.07781,0.1106,0.1242,0.1522,0.4341
"emp_Y25-64_ED3-4",0.1026,0.2771,0.3457,0.3447,0.4307,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1856,0.2387,0.2453,0.299,0.551
"emp_FT",0.21,0.4356,0.4578,0.4561,0.4817,0.609
"emp_PT",0.0236,0.07262,0.1115,0.1207,0.1709,0.2832
"emp_Y25-64",0.328,0.6817,0.7336,0.7166,0.779,1.035
"emp_Y25-64_NaceG-I",0.06105,0.143,0.1592,0.1601,0.1752,0.2861
"emp_Y25-64_NaceO-Q",0.1083,0.1616,0.2086,0.2013,0.2351,0.3425
"GDP",0.001431,0.09138,0.1209,0.137,0.1652,1
