"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01093,0.01767,0.02248,0.02672,0.1486
"pop_Y0-14",0.1104,0.1382,0.1521,0.156,0.1683,0.4413
"pop_Y15-24",0.07057,0.1049,0.1136,0.1124,0.1212,0.1644
"pop_Y25-64",0.3682,0.5174,0.5446,0.5402,0.5594,0.6118
"pop_Y65-74",0.01672,0.09203,0.1011,0.09945,0.1093,0.1413
"pop_YGE75",0.009382,0.07689,0.09269,0.09198,0.1062,0.151
"emp_Y25-64_ED0-2",0.01588,0.0771,0.11,0.1244,0.1566,0.4341
"emp_Y25-64_ED3-4",0.1026,0.2577,0.3454,0.3418,0.4259,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1744,0.2282,0.2384,0.2907,0.551
"emp_FT",0.21,0.4296,0.4571,0.4556,0.4827,0.609
"emp_PT",0.009401,0.06078,0.1039,0.1115,0.1686,0.2832
"emp_Y25-64",0.328,0.6555,0.7257,0.7066,0.7732,1.035
"emp_Y25-64_NaceG-I",0.06105,0.1428,0.1597,0.1614,0.1766,0.2861
"emp_Y25-64_NaceO-Q",0.09081,0.1513,0.2015,0.195,0.2311,0.3425
"GDP",0,0.08298,0.1152,0.1296,0.1609,1
