"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01135,0.01787,0.02272,0.02772,0.1486
"pop_Y0-14",0.1104,0.1387,0.1521,0.1559,0.1682,0.4413
"pop_Y15-24",0.07057,0.1049,0.1134,0.1124,0.1212,0.1644
"pop_Y25-64",0.3682,0.5187,0.5454,0.541,0.5612,0.6236
"pop_Y65-74",0.01672,0.09159,0.1003,0.0992,0.1089,0.1413
"pop_YGE75",0.009382,0.0763,0.09205,0.09155,0.1058,0.151
"emp_Y25-64_ED0-2",0.01588,0.07734,0.1112,0.1251,0.1613,0.4341
"emp_Y25-64_ED3-4",0.1026,0.2603,0.3473,0.3437,0.4259,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1657,0.2268,0.2353,0.29,0.551
"emp_FT",0.21,0.4332,0.458,0.4573,0.4847,0.609
"emp_PT",0.009401,0.05954,0.1036,0.1096,0.1675,0.2832
"emp_Y25-64",0.328,0.6555,0.723,0.7061,0.7728,1.035
"emp_Y25-64_NaceG-I",0.06105,0.1413,0.1591,0.1608,0.1766,0.2861
"emp_Y25-64_NaceO-Q",0.06978,0.1475,0.1983,0.1918,0.2299,0.3425
"GDP",0,0.0794,0.1144,0.1273,0.1588,1
