"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01101,0.01782,0.02267,0.02736,0.1486
"pop_Y0-14",0.1104,0.1385,0.1528,0.1564,0.1685,0.4413
"pop_Y15-24",0.07057,0.1055,0.1139,0.1127,0.1213,0.1644
"pop_Y25-64",0.3682,0.5166,0.544,0.5398,0.5592,0.6118
"pop_Y65-74",0.01672,0.09176,0.1005,0.09896,0.1087,0.1338
"pop_YGE75",0.009382,0.07664,0.09318,0.09212,0.1063,0.151
"emp_Y25-64_ED0-2",0.01588,0.07722,0.1113,0.1255,0.1611,0.4341
"emp_Y25-64_ED3-4",0.1026,0.2541,0.3426,0.3407,0.4301,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1747,0.2298,0.2392,0.2916,0.551
"emp_FT",0.21,0.4289,0.4568,0.4544,0.4811,0.609
"emp_PT",0.02045,0.06492,0.1047,0.1139,0.1689,0.2832
"emp_Y25-64",0.328,0.6573,0.7269,0.7075,0.7751,1.035
"emp_Y25-64_NaceG-I",0.06105,0.1426,0.1591,0.1608,0.1765,0.2861
"emp_Y25-64_NaceO-Q",0.09081,0.1536,0.2051,0.1964,0.2324,0.3425
"GDP",0.001431,0.08548,0.1159,0.1323,0.162,1
