"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01117,0.01783,0.02275,0.02745,0.1486
"pop_Y0-14",0.1104,0.1383,0.1528,0.1564,0.1686,0.4413
"pop_Y15-24",0.07057,0.1055,0.1139,0.1127,0.1213,0.1644
"pop_Y25-64",0.3682,0.5164,0.5438,0.5398,0.5593,0.6118
"pop_Y65-74",0.01672,0.09167,0.1004,0.09891,0.1086,0.1338
"pop_YGE75",0.009382,0.0769,0.09348,0.09219,0.1063,0.151
"emp_Y25-64_ED0-2",0.01588,0.07716,0.1112,0.1248,0.1574,0.4341
"emp_Y25-64_ED3-4",0.1026,0.2566,0.3434,0.3413,0.4302,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1755,0.2299,0.2395,0.2921,0.551
"emp_FT",0.21,0.4287,0.4569,0.4544,0.4812,0.609
"emp_PT",0.02045,0.06477,0.1047,0.114,0.1689,0.2832
"emp_Y25-64",0.328,0.6585,0.728,0.7077,0.7753,1.035
"emp_Y25-64_NaceG-I",0.06105,0.1425,0.159,0.1607,0.1762,0.2861
"emp_Y25-64_NaceO-Q",0.09081,0.1532,0.2051,0.1965,0.2327,0.3425
"GDP",0.001431,0.0853,0.1162,0.1324,0.1622,1
