"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2402000,4150000,5244000,7125000,17640000
"pop_Y0-14",11.42,13.79,15.05,15.44,16.74,25.43
"pop_Y15-24",7.25,10.55,11.35,11.22,12.29,14.08
"pop_Y25-64",49.06,52.24,54.9,54.46,56.53,60.39
"pop_Y65-74",6.143,9.321,10.05,9.856,10.69,12.68
"pop_YGE75",4.978,7.663,8.884,9.03,10.2,13.02
"emp_Y25-64_ED0-2",1.845,7.122,10.32,12.05,14.74,43.41
"emp_Y25-64_ED3-4",11.07,25.08,34.13,33.79,41.95,55.65
"emp_Y25-64_ED5-8",9.101,18.88,25.11,24.69,29.71,44.68
"emp_FT",29.13,43.96,45.51,45.82,48.36,59.9
"emp_PT",1.355,6.377,10.49,11.02,16.46,19.86
"emp_Y25-64",47.48,65.69,72.66,70.73,76.47,88
"emp_Y25-64_NaceG-I",10.58,14.68,16.42,16.48,17.66,23.82
"emp_Y25-64_NaceO-Q",11.44,15.7,20,19.38,22.94,30.47
"GDP",9900,20900,24450,27080,31120,73000
"training",1.2,6.4,9.3,10.76,15.05,30.9
