"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.02787,0.05162,0.06472,0.08768,0.2169
"pop_Y0-14",0.1142,0.138,0.1514,0.1548,0.1679,0.2543
"pop_Y15-24",0.0725,0.1064,0.1138,0.1124,0.123,0.1408
"pop_Y25-64",0.4906,0.522,0.5486,0.5442,0.5651,0.6039
"pop_Y65-74",0.06143,0.09231,0.1004,0.09817,0.1061,0.1268
"pop_YGE75",0.04978,0.07635,0.08927,0.09043,0.1032,0.1302
"emp_Y25-64_ED0-2",0.01845,0.0719,0.1053,0.1216,0.1498,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2494,0.3362,0.3368,0.4219,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1904,0.2511,0.2474,0.2975,0.4468
"emp_FT",0.2913,0.4389,0.4544,0.4568,0.4825,0.599
"emp_PT",0.02886,0.06818,0.1063,0.1124,0.1648,0.1986
"emp_Y25-64",0.4748,0.6587,0.729,0.7078,0.7668,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1465,0.1636,0.1642,0.1756,0.2382
"emp_Y25-64_NaceO-Q",0.1144,0.1586,0.2008,0.1951,0.2299,0.3047
"GDP",0.02861,0.09227,0.1187,0.1374,0.1643,0.4635
"training",0.019,0.06425,0.093,0.1097,0.1515,0.309
