"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.01008,0.05501,0.07219,0.0866,0.1198,0.1985
"pop_Y0-14",0.1197,0.1428,0.1617,0.1595,0.1757,0.1952
"pop_Y15-24",0.08011,0.09558,0.1152,0.1125,0.1294,0.1408
"pop_Y25-64",0.5017,0.5139,0.5463,0.5403,0.563,0.6039
"pop_Y65-74",0.06143,0.09403,0.1005,0.09862,0.108,0.1144
"pop_YGE75",0.0533,0.08111,0.08619,0.0891,0.09943,0.1239
"emp_Y25-64_ED0-2",0.02933,0.1236,0.1486,0.1589,0.2079,0.2373
"emp_Y25-64_ED3-4",0.1209,0.1764,0.2881,0.2647,0.3271,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1904,0.2791,0.2644,0.3221,0.4468
"emp_FT",0.2913,0.4267,0.4475,0.438,0.4636,0.5673
"emp_PT",0.03854,0.07547,0.1038,0.1202,0.1656,0.1984
"emp_Y25-64",0.4748,0.6642,0.7263,0.6929,0.7612,0.8026
"emp_Y25-64_NaceG-I",0.1243,0.1542,0.1621,0.164,0.1725,0.2349
"emp_Y25-64_NaceO-Q",0.1205,0.1415,0.1596,0.1908,0.2407,0.278
"GDP",0.06652,0.09782,0.1155,0.1276,0.1475,0.3076
"training",0.063,0.09375,0.1165,0.1223,0.1565,0.189
