"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.02719,0.0517,0.06506,0.08781,0.2169
"pop_Y0-14",0.1142,0.1379,0.1516,0.1549,0.1682,0.2543
"pop_Y15-24",0.0725,0.1063,0.1136,0.1122,0.1228,0.1408
"pop_Y25-64",0.4906,0.5217,0.5488,0.5442,0.5652,0.6039
"pop_Y65-74",0.06143,0.09186,0.1005,0.09821,0.1062,0.1268
"pop_YGE75",0.04978,0.07621,0.08915,0.09041,0.1039,0.1302
"emp_Y25-64_ED0-2",0.01845,0.07207,0.1066,0.1227,0.151,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2486,0.3357,0.3361,0.4231,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1891,0.25,0.2465,0.2969,0.4468
"emp_FT",0.2913,0.4386,0.454,0.4558,0.4822,0.599
"emp_PT",0.02886,0.07111,0.1073,0.1131,0.1649,0.1986
"emp_Y25-64",0.4748,0.6586,0.728,0.7073,0.7679,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1464,0.1632,0.1637,0.1753,0.2382
"emp_Y25-64_NaceO-Q",0.1144,0.1584,0.2015,0.1954,0.2302,0.3047
"GDP",0.02861,0.09227,0.1202,0.138,0.1645,0.4635
"training",0.019,0.065,0.093,0.1103,0.152,0.309
