"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.03759,0.05348,0.07476,0.1232,0.1985
"pop_Y0-14",0.1197,0.1384,0.145,0.1492,0.1591,0.1796
"pop_Y15-24",0.08011,0.09491,0.1078,0.105,0.1144,0.1239
"pop_Y25-64",0.4906,0.5288,0.5496,0.5468,0.5639,0.6039
"pop_Y65-74",0.08335,0.09492,0.1032,0.1028,0.1101,0.1268
"pop_YGE75",0.06644,0.08311,0.09596,0.09609,0.1149,0.1239
"emp_Y25-64_ED0-2",0.02933,0.0999,0.1766,0.157,0.2137,0.2373
"emp_Y25-64_ED3-4",0.1209,0.1689,0.2376,0.2824,0.3627,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1634,0.2272,0.2318,0.282,0.3818
"emp_FT",0.2913,0.4015,0.4367,0.4361,0.4719,0.5888
"emp_PT",0.03347,0.0672,0.08615,0.09758,0.138,0.1872
"emp_Y25-64_NaceG-I",0.1243,0.1519,0.1662,0.1707,0.1752,0.2382
"emp_Y25-64_NaceO-Q",0.1144,0.1312,0.1512,0.1709,0.18,0.3047
"GDP",0.04936,0.09084,0.1481,0.1341,0.1645,0.2239
"training",0.019,0.087,0.096,0.125,0.132,0.309
