"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2458000,4225000,5339000,7156000,17640000
"pop_Y0-14",11.42,13.79,15.16,15.49,16.82,25.43
"pop_Y15-24",7.25,10.63,11.36,11.23,12.28,14.08
"pop_Y25-64",49.06,52.17,54.88,54.41,56.52,60.39
"pop_Y65-74",6.143,9.186,10.03,9.802,10.58,12.68
"pop_YGE75",4.978,7.677,8.939,9.062,10.39,13.02
"emp_Y25-64_ED0-2",1.845,7.184,10.4,11.95,14.62,43.41
"emp_Y25-64_ED3-4",11.07,25.16,33.67,33.86,42.31,55.65
"emp_Y25-64_ED5-8",9.101,19.43,25.23,24.84,29.77,44.68
"emp_FT",29.13,43.86,45.47,45.69,48.26,59.9
"emp_PT",2.886,6.72,10.73,11.27,16.49,19.86
"emp_Y25-64",47.48,65.9,73,70.85,76.79,88
"emp_Y25-64_NaceG-I",10.58,14.64,16.32,16.4,17.53,23.82
"emp_Y25-64_NaceO-Q",11.44,15.84,20.15,19.53,23.02,30.47
"GDP",12200,21100,25000,27450,31200,73000
"training",1.9,6.4,9.3,11.01,15.2,30.9
