"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.02694,0.05392,0.06644,0.09582,0.2169
"pop_Y0-14",0.1142,0.1377,0.1517,0.1552,0.1689,0.2543
"pop_Y15-24",0.0725,0.1067,0.1141,0.1127,0.1238,0.1408
"pop_Y25-64",0.4906,0.5204,0.5486,0.5438,0.5651,0.6039
"pop_Y65-74",0.06143,0.09141,0.1005,0.09824,0.107,0.1268
"pop_YGE75",0.04978,0.07614,0.08863,0.09005,0.102,0.1302
"emp_Y25-64_ED0-2",0.01845,0.07201,0.1053,0.1214,0.1461,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2604,0.3413,0.3398,0.4249,0.5565
"emp_Y25-64_ED5-8",0.09101,0.2009,0.2534,0.2527,0.2988,0.4468
"emp_FT",0.2913,0.4408,0.456,0.4589,0.4827,0.599
"emp_PT",0.03071,0.07399,0.1094,0.1181,0.1656,0.1986
"emp_Y25-64",0.4748,0.6862,0.732,0.7161,0.7683,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1457,0.1636,0.1636,0.1754,0.2382
"emp_Y25-64_NaceO-Q",0.1205,0.1595,0.2052,0.1994,0.2346,0.3047
"GDP",0.02861,0.09675,0.1223,0.1419,0.1668,0.4635
"training",0.026,0.073,0.096,0.1157,0.1585,0.309
