"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.03239,0.05162,0.06357,0.08246,0.2169
"pop_Y0-14",0.1142,0.1392,0.1519,0.1557,0.1689,0.2543
"pop_Y15-24",0.0725,0.1064,0.1141,0.1127,0.123,0.1408
"pop_Y25-64",0.4906,0.5232,0.5478,0.5443,0.5652,0.6039
"pop_Y65-74",0.06143,0.09084,0.1004,0.09843,0.1071,0.1268
"pop_YGE75",0.04978,0.07541,0.08679,0.08878,0.1012,0.1302
"emp_Y25-64_ED0-2",0.01845,0.07384,0.1091,0.1224,0.1498,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2603,0.343,0.3393,0.418,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1882,0.2511,0.245,0.2975,0.4468
"emp_FT",0.2841,0.4367,0.4551,0.4544,0.4861,0.599
"emp_PT",0.01355,0.0631,0.1063,0.1174,0.1653,0.3371
"emp_Y25-64",0.4748,0.6764,0.7266,0.7092,0.7635,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1462,0.1626,0.1629,0.1753,0.2382
"emp_Y25-64_NaceO-Q",0.08204,0.1559,0.2,0.1925,0.2329,0.3047
"GDP",0.01216,0.09084,0.1187,0.1347,0.1695,0.4635
"training",0.008,0.06325,0.093,0.1085,0.1595,0.319
