"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2658000,4219000,5189000,6722000,17640000
"pop_Y0-14",11.42,13.92,15.19,15.57,16.89,25.43
"pop_Y15-24",7.25,10.64,11.41,11.27,12.3,14.08
"pop_Y25-64",49.06,52.32,54.78,54.43,56.52,60.39
"pop_Y65-74",6.143,9.084,10.04,9.843,10.71,12.68
"pop_YGE75",4.978,7.541,8.679,8.878,10.12,13.02
"emp_Y25-64_ED0-2",1.845,7.384,10.91,12.24,14.98,43.41
"emp_Y25-64_ED3-4",11.07,26.03,34.3,33.93,41.8,55.65
"emp_Y25-64_ED5-8",9.101,18.82,25.11,24.5,29.75,44.68
"emp_FT",28.41,43.67,45.51,45.44,48.61,59.9
"emp_PT",1.355,6.31,10.63,11.74,16.53,33.71
"emp_Y25-64",47.48,67.64,72.66,70.92,76.35,88
"emp_Y25-64_NaceG-I",10.58,14.62,16.26,16.29,17.53,23.82
"emp_Y25-64_NaceO-Q",8.204,15.59,20,19.25,23.29,30.47
"GDP",9900,20900,24800,27030,31900,73000
"training",0.8,6.325,9.3,10.85,15.95,31.9
