"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2216000,4406000,5422000,7806000,17640000
"pop_Y0-14",11.42,13.77,15.17,15.52,16.89,25.43
"pop_Y15-24",7.25,10.67,11.41,11.27,12.38,14.08
"pop_Y25-64",49.06,52.04,54.86,54.38,56.51,60.39
"pop_Y65-74",6.143,9.141,10.05,9.824,10.7,12.68
"pop_YGE75",4.978,7.614,8.863,9.005,10.2,13.02
"emp_Y25-64_ED0-2",1.845,7.201,10.53,12.14,14.61,43.41
"emp_Y25-64_ED3-4",11.07,26.04,34.13,33.98,42.49,55.65
"emp_Y25-64_ED5-8",9.101,20.09,25.34,25.27,29.88,44.68
"emp_FT",29.13,44.08,45.6,45.89,48.27,59.9
"emp_PT",3.071,7.399,10.94,11.81,16.56,19.86
"emp_Y25-64",47.48,68.62,73.2,71.61,76.83,88
"emp_Y25-64_NaceG-I",10.58,14.57,16.36,16.36,17.54,23.82
"emp_Y25-64_NaceO-Q",12.05,15.95,20.52,19.94,23.46,30.47
"GDP",12200,21720,25300,28040,31520,73000
"training",2.6,7.3,9.6,11.57,15.85,30.9
