"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",847000,4494000,5889000,7058000,9753000,16140000
"pop_Y0-14",11.97,14.28,16.17,15.95,17.57,19.52
"pop_Y15-24",8.011,9.558,11.52,11.25,12.94,14.08
"pop_Y25-64",50.17,51.39,54.63,54.03,56.3,60.39
"pop_Y65-74",6.143,9.403,10.05,9.862,10.8,11.44
"pop_YGE75",5.33,8.111,8.619,8.91,9.943,12.39
"emp_Y25-64_ED0-2",2.933,12.36,14.86,15.89,20.79,23.73
"emp_Y25-64_ED3-4",12.09,17.64,28.81,26.47,32.71,55.65
"emp_Y25-64_ED5-8",9.101,19.04,27.91,26.44,32.21,44.68
"emp_FT",29.13,42.67,44.75,43.8,46.36,56.73
"emp_PT",3.854,7.547,10.38,12.02,16.56,19.84
"emp_Y25-64",47.48,66.42,72.63,69.29,76.12,80.26
"emp_Y25-64_NaceG-I",12.43,15.42,16.21,16.4,17.25,23.49
"emp_Y25-64_NaceO-Q",12.05,14.15,15.96,19.08,24.07,27.8
"GDP",17500,21880,24350,26030,28820,51200
"training",6.3,9.375,11.65,12.23,15.65,18.9
