"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2291000,4219000,5282000,7146000,17640000
"pop_Y0-14",11.42,13.8,15.14,15.48,16.79,25.43
"pop_Y15-24",7.25,10.64,11.38,11.24,12.3,14.08
"pop_Y25-64",49.06,52.2,54.86,54.42,56.51,60.39
"pop_Y65-74",6.143,9.231,10.04,9.817,10.61,12.68
"pop_YGE75",4.978,7.635,8.927,9.043,10.32,13.02
"emp_Y25-64_ED0-2",1.845,7.19,10.53,12.16,14.98,43.41
"emp_Y25-64_ED3-4",11.07,24.94,33.62,33.68,42.19,55.65
"emp_Y25-64_ED5-8",9.101,19.04,25.11,24.74,29.75,44.68
"emp_FT",29.13,43.89,45.44,45.68,48.25,59.9
"emp_PT",2.886,6.818,10.63,11.24,16.48,19.86
"emp_Y25-64",47.48,65.87,72.9,70.78,76.68,88
"emp_Y25-64_NaceG-I",10.58,14.65,16.36,16.42,17.56,23.82
"emp_Y25-64_NaceO-Q",11.44,15.86,20.08,19.51,22.99,30.47
"GDP",12200,21100,24800,27410,31180,73000
"training",1.9,6.425,9.3,10.97,15.15,30.9
