"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.02992,0.0517,0.06542,0.08781,0.2169
"pop_Y0-14",0.1142,0.1379,0.1516,0.1549,0.1682,0.2543
"pop_Y15-24",0.0725,0.1063,0.1136,0.1123,0.1228,0.1408
"pop_Y25-64",0.4906,0.5217,0.5488,0.5441,0.5652,0.6039
"pop_Y65-74",0.06143,0.09186,0.1003,0.09802,0.1058,0.1268
"pop_YGE75",0.04978,0.07677,0.08939,0.09062,0.1039,0.1302
"emp_Y25-64_ED0-2",0.01845,0.07184,0.104,0.1195,0.1462,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2516,0.3367,0.3386,0.4231,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1943,0.2523,0.2484,0.2977,0.4468
"emp_FT",0.2913,0.4386,0.4547,0.4569,0.4826,0.599
"emp_PT",0.02886,0.0672,0.1073,0.1127,0.1649,0.1986
"emp_Y25-64",0.4748,0.659,0.73,0.7085,0.7679,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1464,0.1632,0.164,0.1753,0.2382
"emp_Y25-64_NaceO-Q",0.1144,0.1584,0.2015,0.1953,0.2302,0.3047
"GDP",0.02861,0.09227,0.1202,0.1377,0.1645,0.4635
"training",0.019,0.064,0.093,0.1101,0.152,0.309
